order_id,customer_id,order_date,order_status,shipping_type,order_total
ORD0000041,CUST000444,2024-02-14,Delivered,Standard,28552.09
ORD0000042,CUST002466,2024-03-29,Delivered,Standard,100234.73
ORD0000043,CUST000574,2021-11-11,Delivered,Standard,45308.43
ORD0000044,CUST002177,2020-09-30,Delivered,Standard,33248.03
ORD0000045,CUST001011,2020-03-31,Delivered,Standard,80083.16
ORD0000046,CUST000341,2021-12-22,Delivered,Two-day,25340.77
ORD0000047,CUST001281,2023-01-23,Delivered,Standard,28222.59
ORD0000048,CUST000100,2021-11-24,Delivered,Standard,53556.12
ORD0000049,CUST002087,2024-07-24,Delivered,Express,42357.96
ORD0000050,CUST002311,2023-08-09,Processing,Two-day,71214.18
ORD0000051,CUST000150,2020-12-24,Delivered,Standard,56830.9
ORD0000052,CUST001657,2024-08-27,Delivered,Express,11005.69
ORD0000053,CUST001354,2024-05-14,Delivered,Express,111591.94
ORD0000054,CUST001144,2023-11-03,Delivered,Standard,56012.0
ORD0000055,CUST001608,2022-08-09,Shipped,Express,31061.04
ORD0000056,CUST002267,2023-11-25,Shipped,Standard,153474.62
ORD0000057,CUST001838,2022-09-07,Delivered,Standard,41946.23
ORD0000058,CUST000244,2023-07-17,Delivered,Standard,7700.43
ORD0000059,CUST000587,2021-01-08,Processing,Standard,31918.82
ORD0000060,CUST002238,2024-07-19,Processing,Express,64358.37
ORD0000061,CUST000856,2020-10-03,Delivered,Express,73724.63
ORD0000062,CUST002147,2020-05-09,Delivered,Two-day,67405.4
ORD0000063,CUST002036,2024-01-06,Delivered,Standard,81380.23
ORD0000064,CUST000830,2024-05-08,Delivered,Standard,149337.54
ORD0000065,CUST001387,2022-07-26,Delivered,Express,38956.85
ORD0000066,CUST001717,2020-03-16,Shipped,Standard,71621.43
ORD0000067,CUST001688,2021-08-23,Processing,Standard,10300.31
ORD0000068,CUST000056,2021-02-16,Delivered,Express,126668.12
ORD0000069,CUST001726,2020-03-30,Delivered,Standard,78561.0
ORD0000070,CUST001954,2024-06-08,Delivered,Standard,99589.06
ORD0000071,CUST001046,2021-02-12,Delivered,Standard,82217.12
ORD0000072,CUST000185,2020-03-26,Delivered,Standard,46296.41
ORD0000073,CUST000522,2021-10-08,Delivered,Standard,26628.44
ORD0000074,CUST001602,2021-09-27,Delivered,Standard,115856.4
ORD0000075,CUST002312,2022-11-21,Delivered,Standard,50511.67
ORD0000076,CUST001249,2022-03-26,Delivered,Express,10632.13
ORD0000077,CUST001659,2024-07-27,Processing,Standard,93755.74
ORD0000078,CUST001062,2023-01-17,Delivered,Standard,33562.37
ORD0000079,CUST001003,2022-08-27,Delivered,Standard,90302.86
ORD0000080,CUST002171,2021-06-02,Delivered,Standard,8781.67
ORD0000081,CUST002349,2020-03-15,Processing,Two-day,85014.48
ORD0000082,CUST002018,2024-03-22,Delivered,Standard,8610.25
ORD0000083,CUST001929,2023-08-17,Delivered,Standard,30898.97
ORD0000084,CUST000394,2021-01-26,Delivered,Standard,51326.69
ORD0000085,CUST001618,2021-08-08,Delivered,Standard,6904.85
ORD0000086,CUST000661,2022-01-01,Delivered,Express,17814.58
ORD0000087,CUST001429,2024-05-18,Delivered,Express,96272.53
ORD0000088,CUST001155,2020-04-07,Delivered,Standard,15666.56
ORD0000089,CUST000069,2023-09-04,Processing,Two-day,52334.62
ORD0000090,CUST000320,2021-11-10,Delivered,Standard,16806.4
ORD0000091,CUST002225,2021-07-13,Delivered,Standard,95788.79
ORD0000092,CUST000584,2020-09-11,Delivered,Standard,52004.47
ORD0000093,CUST001865,2024-06-25,Processing,Standard,12406.06
ORD0000094,CUST001184,2022-01-23,Delivered,Standard,66470.9
ORD0000095,CUST000582,2022-06-13,Delivered,Two-day,18219.61
ORD0000096,CUST001768,2022-03-30,Delivered,Express,49444.47
ORD0000097,CUST001557,2024-03-02,Delivered,Standard,19742.82
ORD0000098,CUST001799,2022-06-19,Cancelled,Standard,735.36
ORD0000099,CUST000111,2022-03-02,Shipped,Express,56391.08
ORD0000100,CUST000999,2021-11-25,Delivered,Standard,63388.96
ORD0000101,CUST000758,2021-01-17,Delivered,Standard,41264.01
ORD0000102,CUST000283,2022-10-13,Delivered,Standard,149043.51
ORD0000103,CUST001743,2023-11-18,Delivered,Standard,53901.66
ORD0000104,CUST002242,2022-10-15,Shipped,Standard,50060.84
ORD0000105,CUST001071,2022-01-22,Delivered,Standard,46298.7
ORD0000106,CUST002390,2024-06-20,Delivered,Standard,79262.73
ORD0000107,CUST001394,2022-11-29,Delivered,Standard,28417.02
ORD0000108,CUST000801,2021-06-30,Delivered,Two-day,98677.91
ORD0000109,CUST000131,2024-06-28,Delivered,Express,100216.29
ORD0000110,CUST001294,2020-06-18,Shipped,Standard,138946.04
ORD0000111,CUST001964,2024-01-29,Delivered,Standard,66301.23
ORD0000112,CUST000061,2022-05-19,Delivered,Standard,64809.52
ORD0000113,CUST002212,2020-06-10,Delivered,Standard,67186.27
ORD0000114,CUST001549,2022-05-31,Processing,Express,65310.77
ORD0000115,CUST000272,2023-05-18,Delivered,Standard,45156.25
ORD0000116,CUST001782,2024-08-11,Delivered,Standard,45155.18
ORD0000117,CUST002181,2021-01-04,Delivered,Express,12283.23
ORD0000118,CUST001268,2023-01-22,Delivered,Standard,49577.65
ORD0000119,CUST001458,2021-08-24,Returned,Express,66158.05
ORD0000120,CUST000038,2021-10-19,Delivered,Express,16628.98
ORD0000121,CUST001895,2020-07-29,Delivered,Standard,66268.99
ORD0000122,CUST001343,2020-06-12,Delivered,Two-day,83791.51
ORD0000123,CUST000474,2021-11-02,Delivered,Standard,73017.01
ORD0000124,CUST000059,2023-09-15,Delivered,Two-day,14299.51
ORD0000125,CUST001964,2021-08-28,Processing,Standard,78916.87
ORD0000126,CUST001919,2021-09-19,Delivered,Express,51477.16
ORD0000127,CUST000904,2022-07-02,Delivered,Express,111617.75
ORD0000128,CUST000383,2023-05-19,Delivered,Standard,49938.61
ORD0000129,CUST001412,2024-01-09,Shipped,Standard,113701.96
ORD0000130,CUST000085,2022-05-22,Delivered,Two-day,21664.4
ORD0000131,CUST001534,2020-12-07,Delivered,Two-day,33185.08
ORD0000132,CUST002341,2023-11-13,Delivered,Standard,106680.61
ORD0000133,CUST001091,2022-06-28,Delivered,Standard,73160.93
ORD0000134,CUST000129,2021-12-20,Delivered,Standard,12399.19
ORD0000135,CUST002077,2022-07-04,Shipped,Express,63261.68
ORD0000136,CUST001569,2020-03-27,Processing,Standard,22679.89
ORD0000137,CUST000692,2024-01-28,Delivered,Express,55900.2
ORD0000138,CUST001961,2021-12-23,Delivered,Standard,11601.35
ORD0000139,CUST000133,2023-06-13,Delivered,Standard,72999.61
ORD0000140,CUST001209,2022-06-09,Processing,Standard,46303.25
ORD0000141,CUST000646,2021-07-16,Delivered,Standard,50669.6
ORD0000142,CUST001613,2023-08-02,Delivered,Standard,117574.53
ORD0000143,CUST000516,2024-06-08,Processing,Standard,20884.77
ORD0000144,CUST002046,2020-04-27,Delivered,Standard,56628.86
ORD0000145,CUST001864,2020-06-02,Returned,Standard,73970.94
ORD0000146,CUST002213,2023-10-06,Delivered,Standard,9885.48
ORD0000147,CUST000933,2023-07-29,Delivered,Standard,73852.75
ORD0000148,CUST001664,2022-04-11,Delivered,Standard,56372.59
ORD0000149,CUST000557,2022-01-14,Delivered,Standard,53181.85
ORD0000150,CUST001672,2022-11-16,Shipped,Express,92978.32
ORD0000151,CUST000993,2024-06-28,Delivered,Standard,15808.97
ORD0000152,CUST001629,2024-03-15,Delivered,Standard,44815.71
ORD0000153,CUST001692,2023-10-23,Delivered,Two-day,22610.85
ORD0000154,CUST000757,2020-11-23,Delivered,Standard,77902.8
ORD0000155,CUST001105,2020-03-04,Delivered,Express,9207.33
ORD0000156,CUST001271,2020-10-19,Delivered,Two-day,19468.11
ORD0000157,CUST000649,2023-05-29,Returned,Standard,117597.01
ORD0000158,CUST001410,2023-10-20,Delivered,Standard,39842.99
ORD0000159,CUST000992,2024-05-19,Delivered,Standard,16157.87
ORD0000160,CUST001331,2022-06-16,Cancelled,Standard,53032.85
ORD0000161,CUST000628,2020-03-12,Delivered,Standard,30371.49
ORD0000162,CUST002055,2020-09-15,Processing,Standard,50824.06
ORD0000163,CUST001950,2020-05-17,Delivered,Standard,43022.4
ORD0000164,CUST000954,2021-04-28,Delivered,Express,89729.91
ORD0000165,CUST001843,2024-05-13,Delivered,Standard,49222.27
ORD0000166,CUST002121,2023-08-14,Delivered,Express,114912.61
ORD0000167,CUST000010,2022-01-20,Delivered,Standard,51438.73
ORD0000168,CUST001597,2022-01-11,Delivered,Standard,92482.76
ORD0000169,CUST000122,2022-02-23,Delivered,Standard,2685.36
ORD0000170,CUST000687,2023-03-07,Delivered,Standard,8826.65
ORD0000171,CUST002010,2020-03-07,Delivered,Standard,54999.88
ORD0000172,CUST000441,2023-05-24,Delivered,Standard,41826.77
ORD0000173,CUST000591,2020-11-10,Delivered,Standard,65625.6
ORD0000174,CUST001369,2023-10-22,Delivered,Standard,102665.84
ORD0000175,CUST001990,2022-07-10,Delivered,Express,88421.09
ORD0000176,CUST001362,2022-01-29,Delivered,Standard,66317.69
ORD0000177,CUST001208,2022-01-31,Delivered,Standard,32009.57
ORD0000178,CUST002115,2022-06-28,Delivered,Standard,88738.73
ORD0000179,CUST002065,2024-04-11,Processing,Standard,43170.34
ORD0000180,CUST001407,2020-06-06,Delivered,Standard,63245.59
ORD0000181,CUST002416,2023-03-21,Delivered,Express,26255.29
ORD0000182,CUST001340,2020-10-08,Processing,Two-day,43065.17
ORD0000183,CUST001521,2022-12-20,Delivered,Standard,82604.71
ORD0000184,CUST001577,2022-01-21,Delivered,Standard,18867.24
ORD0000185,CUST000908,2022-03-26,Returned,Standard,76495.58
ORD0000186,CUST000115,2021-10-05,Delivered,Standard,40533.48
ORD0000187,CUST002148,2023-08-23,Shipped,Standard,57364.28
ORD0000188,CUST002486,2021-07-24,Shipped,Standard,102411.68
ORD0000189,CUST001369,2021-05-26,Delivered,Standard,50635.84
ORD0000190,CUST002397,2020-08-20,Shipped,Standard,115610.48
ORD0000191,CUST000139,2020-02-23,Shipped,Standard,104170.34
ORD0000192,CUST000828,2024-02-15,Delivered,Standard,90870.72
ORD0000193,CUST002372,2021-01-16,Shipped,Standard,8969.15
ORD0000194,CUST000846,2022-10-19,Delivered,Standard,139900.55
ORD0000195,CUST002342,2022-11-26,Delivered,Standard,66870.16
ORD0000196,CUST001981,2022-03-03,Delivered,Express,27455.92
ORD0000197,CUST001553,2023-02-24,Delivered,Express,24769.94
ORD0000198,CUST001316,2020-08-29,Delivered,Standard,109782.6
ORD0000199,CUST000074,2021-06-20,Delivered,Standard,75295.85
ORD0000200,CUST000484,2024-05-06,Delivered,Standard,64174.45
ORD0000201,CUST000016,2021-06-17,Delivered,Two-day,40788.36
ORD0000202,CUST001550,2023-12-12,Delivered,Two-day,118867.6
ORD0000203,CUST001360,2022-07-02,Delivered,Standard,59156.42
ORD0000204,CUST001897,2021-03-15,Delivered,Standard,39176.31
ORD0000205,CUST001151,2023-06-07,Returned,Standard,116536.89
ORD0000206,CUST000129,2021-08-07,Delivered,Express,29634.48
ORD0000207,CUST000511,2023-11-22,Delivered,Two-day,83256.85
ORD0000208,CUST000423,2022-10-02,Delivered,Standard,92275.87
ORD0000209,CUST002433,2021-02-13,Delivered,Express,109963.56
ORD0000210,CUST001907,2020-09-08,Delivered,Standard,78863.65
ORD0000211,CUST000232,2020-10-04,Shipped,Standard,68796.36
ORD0000212,CUST000959,2020-05-31,Delivered,Standard,53454.19
ORD0000213,CUST000825,2022-07-14,Delivered,Standard,28291.54
ORD0000214,CUST000065,2020-12-19,Delivered,Standard,7742.97
ORD0000215,CUST000833,2023-12-31,Delivered,Standard,77718.31
ORD0000216,CUST000615,2022-06-30,Delivered,Two-day,11037.14
ORD0000217,CUST002029,2020-06-28,Delivered,Two-day,25536.49
ORD0000218,CUST000801,2024-07-17,Delivered,Standard,64735.46
ORD0000219,CUST001968,2023-10-28,Delivered,Standard,20871.94
ORD0000220,CUST000278,2021-10-16,Delivered,Express,118910.78
ORD0000221,CUST002014,2023-09-29,Processing,Standard,48139.73
ORD0000222,CUST001718,2021-12-12,Delivered,Express,65309.17
ORD0000223,CUST002414,2023-12-24,Shipped,Standard,136065.77
ORD0000224,CUST001239,2020-05-12,Delivered,Express,20824.58
ORD0000225,CUST002487,2023-01-31,Delivered,Standard,15538.68
ORD0000226,CUST000428,2023-01-15,Delivered,Standard,56589.95
ORD0000227,CUST002444,2021-08-17,Cancelled,Standard,5242.68
ORD0000228,CUST001525,2021-09-06,Delivered,Express,12831.8
ORD0000229,CUST001487,2020-11-18,Delivered,Standard,95423.33
ORD0000230,CUST000586,2023-12-28,Delivered,Two-day,13302.4
ORD0000231,CUST000375,2023-12-24,Delivered,Express,56817.85
ORD0000232,CUST001524,2023-12-05,Delivered,Standard,2917.1
ORD0000233,CUST000093,2023-07-30,Delivered,Standard,13158.24
ORD0000234,CUST001601,2020-12-22,Delivered,Standard,82238.43
ORD0000235,CUST002369,2024-06-13,Delivered,Standard,105272.65
ORD0000236,CUST000914,2022-01-10,Delivered,Standard,69441.35
ORD0000237,CUST001346,2022-11-07,Delivered,Standard,89004.23
ORD0000238,CUST001841,2021-04-04,Delivered,Standard,124943.33
ORD0000239,CUST001302,2020-09-05,Delivered,Standard,39773.58
ORD0000240,CUST001622,2021-02-15,Delivered,Standard,23596.24
ORD0000241,CUST001562,2024-06-10,Processing,Standard,123487.41
ORD0000242,CUST001754,2020-10-11,Delivered,Two-day,60284.0
ORD0000243,CUST001417,2021-04-29,Delivered,Standard,58891.38
ORD0000244,CUST000095,2024-06-06,Delivered,Express,50666.44
ORD0000245,CUST001780,2022-10-08,Processing,Standard,25535.56
ORD0000246,CUST000959,2020-02-23,Delivered,Standard,40384.97
ORD0000247,CUST001131,2022-01-09,Shipped,Standard,79880.86
ORD0000248,CUST001414,2023-02-08,Delivered,Express,24066.34
ORD0000249,CUST001784,2023-03-18,Delivered,Standard,97921.45
ORD0000250,CUST002119,2022-01-25,Delivered,Standard,31252.4
ORD0000251,CUST000664,2022-08-15,Delivered,Express,12739.18
ORD0000252,CUST000969,2024-07-03,Delivered,Standard,14992.2
ORD0000253,CUST002416,2023-02-03,Delivered,Standard,66420.99
ORD0000254,CUST002099,2020-09-22,Delivered,Standard,2319.03
ORD0000255,CUST001167,2023-06-07,Delivered,Standard,48581.49
ORD0000256,CUST001572,2020-06-25,Delivered,Two-day,57655.1
ORD0000257,CUST001524,2020-05-14,Delivered,Standard,69511.65
ORD0000258,CUST000988,2021-09-25,Delivered,Standard,108119.36
ORD0000259,CUST002308,2022-03-26,Delivered,Two-day,92928.63
ORD0000260,CUST001226,2024-01-08,Delivered,Two-day,22135.55
ORD0000261,CUST001209,2024-01-12,Delivered,Standard,175.64
ORD0000262,CUST002206,2022-09-07,Delivered,Express,52490.8
ORD0000263,CUST000099,2022-12-12,Delivered,Standard,6233.73
ORD0000264,CUST002289,2022-04-21,Delivered,Express,30331.4
ORD0000265,CUST001515,2024-04-24,Delivered,Standard,13799.07
ORD0000266,CUST000202,2022-04-18,Delivered,Standard,94129.56
ORD0000267,CUST000634,2024-08-13,Processing,Standard,37265.74
ORD0000268,CUST000746,2023-03-23,Delivered,Two-day,20929.37
ORD0000269,CUST000490,2020-05-31,Delivered,Standard,66009.61
ORD0000270,CUST000579,2020-09-13,Returned,Standard,49287.57
ORD0000271,CUST000273,2021-10-11,Delivered,Standard,11301.06
ORD0000272,CUST001243,2023-08-08,Processing,Standard,276.78
ORD0000273,CUST000786,2020-05-31,Delivered,Express,6994.76
ORD0000274,CUST000453,2022-07-10,Delivered,Express,23959.57
ORD0000275,CUST001176,2022-08-12,Delivered,Express,133991.4
ORD0000276,CUST002395,2023-10-24,Processing,Standard,30495.27
ORD0000277,CUST000816,2022-11-25,Delivered,Standard,72326.03
ORD0000278,CUST000414,2021-12-06,Delivered,Standard,72358.0
ORD0000279,CUST001551,2020-09-19,Delivered,Two-day,87970.89
ORD0000280,CUST000431,2024-08-24,Delivered,Standard,51229.49
ORD0000281,CUST002427,2024-05-16,Delivered,Standard,33394.3
ORD0000282,CUST000895,2023-02-03,Delivered,Standard,69128.51
ORD0000283,CUST002476,2023-08-03,Delivered,Standard,17352.65
ORD0000284,CUST001947,2023-04-18,Delivered,Standard,78601.61
ORD0000285,CUST001108,2021-01-07,Processing,Express,26522.96
ORD0000286,CUST000192,2024-04-21,Delivered,Standard,115277.82
ORD0000287,CUST000041,2020-09-21,Cancelled,Standard,40519.72
ORD0000288,CUST001888,2022-06-05,Delivered,Standard,10235.13
ORD0000289,CUST001860,2022-10-26,Delivered,Standard,12218.46
ORD0000290,CUST001797,2020-04-23,Delivered,Two-day,37054.0
ORD0000291,CUST001333,2020-09-11,Delivered,Standard,54757.31
ORD0000292,CUST000136,2022-11-27,Delivered,Standard,37259.19
ORD0000293,CUST001814,2020-11-09,Delivered,Express,57456.07
ORD0000294,CUST000106,2021-09-14,Delivered,Standard,45958.28
ORD0000295,CUST000519,2020-12-03,Delivered,Standard,28230.96
ORD0000296,CUST001942,2020-11-27,Delivered,Standard,77160.57
ORD0000297,CUST001566,2021-10-22,Delivered,Standard,10140.19
ORD0000298,CUST000126,2023-12-23,Delivered,Standard,70588.16
ORD0000299,CUST002448,2021-04-06,Delivered,Standard,73061.89
ORD0000300,CUST002127,2021-12-09,Delivered,Standard,107217.75
ORD0000301,CUST000389,2022-11-28,Delivered,Standard,50818.61
ORD0000302,CUST001559,2021-08-04,Delivered,Standard,39396.76
ORD0000303,CUST001725,2020-06-10,Delivered,Standard,2667.13
ORD0000304,CUST002122,2021-05-28,Processing,Standard,129802.06
ORD0000305,CUST001029,2021-02-06,Delivered,Standard,100711.19
ORD0000306,CUST001943,2023-07-24,Delivered,Two-day,88865.54
ORD0000307,CUST000082,2023-02-02,Shipped,Standard,871.77
ORD0000308,CUST001561,2021-07-16,Delivered,Standard,21125.74
ORD0000309,CUST000776,2020-09-13,Delivered,Standard,92189.78
ORD0000310,CUST000278,2023-07-04,Delivered,Express,54745.52
ORD0000311,CUST001879,2021-09-12,Delivered,Two-day,66255.57
ORD0000312,CUST002272,2023-06-12,Delivered,Two-day,8589.39
ORD0000313,CUST001608,2022-12-28,Delivered,Standard,21630.26
ORD0000314,CUST000606,2020-07-10,Processing,Standard,48501.26
ORD0000315,CUST002067,2022-10-26,Delivered,Standard,13823.29
ORD0000316,CUST000640,2023-08-05,Delivered,Standard,36354.72
ORD0000317,CUST001790,2020-12-11,Delivered,Express,95342.51
ORD0000318,CUST001757,2023-04-27,Delivered,Standard,176278.2
ORD0000319,CUST001367,2023-04-04,Delivered,Standard,17192.34
ORD0000320,CUST002145,2020-11-11,Processing,Two-day,93845.65
ORD0000321,CUST000175,2020-12-16,Delivered,Standard,84828.84
ORD0000322,CUST001377,2023-09-11,Delivered,Standard,73174.84
ORD0000323,CUST000348,2023-07-02,Delivered,Standard,10161.06
ORD0000324,CUST000001,2024-01-15,Shipped,Standard,48814.45
ORD0000325,CUST000063,2023-05-24,Delivered,Standard,50950.76
ORD0000326,CUST001784,2021-11-22,Delivered,Standard,37880.17
ORD0000327,CUST000226,2023-02-28,Delivered,Standard,112399.81
ORD0000328,CUST002471,2020-03-25,Processing,Standard,30360.33
ORD0000329,CUST001043,2024-08-17,Delivered,Express,113733.74
ORD0000330,CUST002079,2020-02-28,Returned,Standard,85263.08
ORD0000331,CUST000845,2020-06-15,Shipped,Express,2467.77
ORD0000332,CUST000024,2020-04-03,Delivered,Express,12189.59
ORD0000333,CUST001235,2023-08-06,Delivered,Express,90239.03
ORD0000334,CUST001985,2024-04-28,Delivered,Standard,133782.96
ORD0000335,CUST000161,2023-03-27,Delivered,Standard,14350.66
ORD0000336,CUST001279,2021-06-26,Delivered,Express,84470.37
ORD0000337,CUST001595,2023-08-26,Cancelled,Express,148241.69
ORD0000338,CUST002162,2021-03-07,Delivered,Standard,1141.02
ORD0000339,CUST001953,2024-04-19,Delivered,Express,99001.1
ORD0000340,CUST001696,2023-03-17,Cancelled,Standard,95708.99
ORD0000341,CUST000955,2022-05-03,Delivered,Express,42490.21
ORD0000342,CUST000357,2023-06-19,Delivered,Standard,6852.83
ORD0000343,CUST002217,2023-08-01,Delivered,Standard,48026.95
ORD0000344,CUST000969,2020-03-03,Delivered,Standard,24024.37
ORD0000345,CUST000242,2022-10-16,Shipped,Standard,11927.78
ORD0000346,CUST000139,2023-07-08,Delivered,Standard,19677.03
ORD0000347,CUST002145,2023-01-22,Cancelled,Two-day,3359.98
ORD0000348,CUST000147,2021-08-16,Delivered,Standard,27144.04
ORD0000349,CUST001081,2023-08-07,Delivered,Standard,57956.26
ORD0000350,CUST001066,2021-09-10,Delivered,Standard,7206.12
ORD0000351,CUST000543,2022-09-16,Delivered,Express,75563.71
ORD0000352,CUST000692,2021-05-16,Delivered,Standard,79981.17
ORD0000353,CUST001026,2024-07-06,Delivered,Express,5679.18
ORD0000354,CUST001162,2024-07-11,Delivered,Standard,76089.48
ORD0000355,CUST001641,2023-11-03,Delivered,Standard,5110.07
ORD0000356,CUST000730,2022-04-11,Delivered,Standard,68948.52
ORD0000357,CUST002379,2021-09-01,Delivered,Two-day,12514.94
ORD0000358,CUST000404,2022-07-17,Delivered,Standard,110731.99
ORD0000359,CUST001940,2020-05-29,Delivered,Standard,47644.72
ORD0000360,CUST001151,2023-11-11,Processing,Standard,77424.77
ORD0000361,CUST001736,2020-05-02,Processing,Standard,20265.39
ORD0000362,CUST001039,2020-11-19,Cancelled,Two-day,87892.13
ORD0000363,CUST002274,2022-06-19,Delivered,Standard,22368.35
ORD0000364,CUST000745,2022-05-01,Delivered,Express,47060.78
ORD0000365,CUST000319,2022-09-18,Delivered,Standard,81199.48
ORD0000366,CUST001243,2022-08-09,Processing,Standard,90438.44
ORD0000367,CUST000773,2021-02-21,Delivered,Standard,84363.21
ORD0000368,CUST001917,2021-11-27,Delivered,Standard,56020.41
ORD0000369,CUST002500,2023-05-27,Processing,Express,83853.77
ORD0000370,CUST000944,2020-10-21,Delivered,Standard,57345.25
ORD0000371,CUST002015,2021-10-02,Delivered,Standard,45758.63
ORD0000372,CUST001214,2024-01-11,Delivered,Express,69107.23
ORD0000373,CUST000419,2021-10-15,Delivered,Express,72269.28
ORD0000374,CUST000865,2024-02-12,Delivered,Standard,65004.62
ORD0000375,CUST000789,2021-12-08,Delivered,Express,60034.91
ORD0000376,CUST001872,2022-03-27,Shipped,Standard,46540.85
ORD0000377,CUST000495,2020-09-24,Delivered,Standard,19018.04
ORD0000378,CUST001063,2024-04-06,Delivered,Standard,15988.87
ORD0000379,CUST002210,2022-01-28,Delivered,Standard,39179.39
ORD0000380,CUST002026,2022-11-20,Delivered,Express,35748.44
ORD0000381,CUST002169,2023-02-24,Processing,Standard,13620.91
ORD0000382,CUST002447,2020-08-05,Delivered,Standard,38567.45
ORD0000383,CUST001986,2021-10-15,Returned,Standard,23738.3
ORD0000384,CUST000728,2021-05-10,Delivered,Standard,60349.4
ORD0000385,CUST000561,2022-08-13,Delivered,Express,76228.74
ORD0000386,CUST001153,2020-09-07,Processing,Standard,31900.94
ORD0000387,CUST000540,2021-07-01,Delivered,Standard,41820.95
ORD0000388,CUST002404,2022-07-09,Delivered,Express,24119.22
ORD0000389,CUST000660,2021-05-22,Delivered,Standard,70737.22
ORD0000390,CUST002480,2020-10-15,Returned,Standard,110657.4
ORD0000391,CUST001864,2020-07-17,Returned,Standard,62703.34
ORD0000392,CUST001451,2020-04-13,Processing,Standard,76836.6
ORD0000393,CUST000817,2021-08-17,Delivered,Standard,15938.51
ORD0000394,CUST001945,2022-02-25,Delivered,Standard,56241.26
ORD0000395,CUST001216,2023-06-14,Delivered,Express,8336.46
ORD0000396,CUST000012,2022-05-06,Delivered,Express,27069.52
ORD0000397,CUST002287,2021-05-23,Delivered,Express,81673.26
ORD0000398,CUST001896,2020-11-23,Delivered,Two-day,46394.5
ORD0000399,CUST002431,2024-07-24,Delivered,Two-day,3732.39
ORD0000400,CUST000048,2021-11-01,Delivered,Express,72086.0
ORD0000401,CUST002365,2023-03-29,Returned,Express,87191.58
ORD0000402,CUST002257,2024-01-16,Shipped,Standard,56574.79
ORD0000403,CUST001571,2021-10-02,Delivered,Standard,88274.72
ORD0000404,CUST000577,2021-01-23,Delivered,Standard,186301.77
ORD0000405,CUST002363,2024-04-11,Delivered,Standard,12596.66
ORD0000406,CUST000754,2020-11-22,Delivered,Two-day,35613.1
ORD0000407,CUST001060,2022-10-17,Delivered,Standard,97315.67
ORD0000408,CUST000554,2022-11-20,Shipped,Express,34546.63
ORD0000409,CUST000403,2022-08-14,Delivered,Standard,102171.14
ORD0000410,CUST001131,2022-10-18,Delivered,Standard,43412.01
ORD0000411,CUST002087,2021-09-23,Delivered,Standard,126072.28
ORD0000412,CUST002228,2022-10-15,Delivered,Express,12358.63
