payment_id,order_id,payment_method,payment_status,paid_amount,transaction_fee,payment_date
PAY00000041,ORD0000041,Debit Card,Success,28552.09,22.73,2024-02-16
PAY00000042,ORD0000042,Credit Card,Success,100234.73,36.14,2024-04-01
PAY00000043,ORD0000043,Debit Card,Success,45308.43,29.55,2021-11-12
PAY00000044,ORD0000044,Credit Card,Success,33248.03,19.1,2020-09-30
PAY00000045,ORD0000045,UPI,Success,80083.16,0.0,2020-04-03
PAY00000046,ORD0000046,UPI,Success,25340.77,0.0,2021-12-23
PAY00000047,ORD0000047,Credit Card,Success,28222.59,45.82,2023-01-25
PAY00000048,ORD0000048,Credit Card,Success,53556.12,12.59,2021-11-28
PAY00000049,ORD0000049,Credit Card,Success,42357.96,43.8,2024-07-28
PAY00000050,ORD0000050,UPI,Success,71214.18,0.0,2023-08-12
PAY00000051,ORD0000051,Cash on Delivery,Success,56830.9,30.26,2020-12-28
PAY00000052,ORD0000052,UPI,Success,11005.69,0.0,2024-08-30
PAY00000053,ORD0000053,Credit Card,Success,111591.94,34.57,2024-05-14
PAY00000054,ORD0000054,Netbanking,Success,56012.0,38.95,2023-11-05
PAY00000055,ORD0000055,Wallet,Success,31061.04,40.09,2022-08-13
PAY00000056,ORD0000056,Debit Card,Success,153474.62,36.47,2023-11-27
PAY00000057,ORD0000057,Wallet,Success,41946.23,21.5,2022-09-07
PAY00000058,ORD0000058,Credit Card,Success,7700.43,6.1,2023-07-17
PAY00000059,ORD0000059,Credit Card,Success,31918.82,26.83,2021-01-08
PAY00000060,ORD0000060,Credit Card,Success,64358.37,11.45,2024-07-20
PAY00000061,ORD0000061,Credit Card,Success,73724.63,25.27,2020-10-05
PAY00000062,ORD0000062,Credit Card,Success,67405.4,25.65,2020-05-09
PAY00000063,ORD0000063,Debit Card,Success,81380.23,27.97,2024-01-06
PAY00000064,ORD0000064,UPI,Success,149337.54,0.0,2024-05-09
PAY00000065,ORD0000065,Credit Card,Success,38956.85,33.32,2022-07-28
PAY00000066,ORD0000066,Credit Card,Success,71621.43,6.77,2020-03-19
PAY00000067,ORD0000067,Credit Card,Success,10300.31,38.03,2021-08-24
PAY00000068,ORD0000068,Debit Card,Success,126668.12,36.02,2021-02-18
PAY00000069,ORD0000069,UPI,Success,78561.0,0.0,2020-04-03
PAY00000070,ORD0000070,Debit Card,Success,99589.06,21.93,2024-06-08
PAY00000071,ORD0000071,UPI,Success,82217.12,0.0,2021-02-13
PAY00000072,ORD0000072,Debit Card,Success,46296.41,35.6,2020-03-29
PAY00000073,ORD0000073,Credit Card,Success,26628.44,12.39,2021-10-09
PAY00000074,ORD0000074,Debit Card,Success,115856.4,36.26,2021-09-29
PAY00000075,ORD0000075,Wallet,Success,50511.67,24.12,2022-11-23
PAY00000076,ORD0000076,Credit Card,Success,10632.13,22.99,2022-03-27
PAY00000077,ORD0000077,Debit Card,Success,93755.74,8.36,2024-07-28
PAY00000078,ORD0000078,UPI,Success,33562.37,0.0,2023-01-17
PAY00000079,ORD0000079,Wallet,Success,90302.86,20.51,2022-08-31
PAY00000080,ORD0000080,UPI,Success,8781.67,0.0,2021-06-05
PAY00000081,ORD0000081,Credit Card,Success,85014.48,45.13,2020-03-18
PAY00000082,ORD0000082,Debit Card,Success,8610.25,21.64,2024-03-22
PAY00000083,ORD0000083,Credit Card,Success,30898.97,14.16,2023-08-19
PAY00000084,ORD0000084,Debit Card,Success,51326.69,29.64,2021-01-29
PAY00000085,ORD0000085,Debit Card,Success,6904.85,49.78,2021-08-08
PAY00000086,ORD0000086,UPI,Success,17814.58,0.0,2022-01-05
PAY00000087,ORD0000087,Credit Card,Success,96272.53,26.28,2024-05-20
PAY00000088,ORD0000088,Wallet,Success,15666.56,5.83,2020-04-08
PAY00000089,ORD0000089,Netbanking,Success,52334.62,21.44,2023-09-08
PAY00000090,ORD0000090,UPI,Success,16806.4,0.0,2021-11-13
PAY00000091,ORD0000091,UPI,Success,95788.79,0.0,2021-07-13
PAY00000092,ORD0000092,UPI,Success,52004.47,0.0,2020-09-12
PAY00000093,ORD0000093,UPI,Success,12406.06,0.0,2024-06-28
PAY00000094,ORD0000094,Wallet,Success,66470.9,44.2,2022-01-26
PAY00000095,ORD0000095,Credit Card,Success,18219.61,36.69,2022-06-14
PAY00000096,ORD0000096,Credit Card,Success,49444.47,18.25,2022-03-30
PAY00000097,ORD0000097,Credit Card,Success,19742.82,19.31,2024-03-04
PAY00000098,ORD0000098,Credit Card,Failed,735.36,33.21,2022-06-22
PAY00000099,ORD0000099,Debit Card,Success,56391.08,37.13,2022-03-06
PAY00000100,ORD0000100,Debit Card,Success,63388.96,38.64,2021-11-28
PAY00000101,ORD0000101,Credit Card,Success,41264.01,44.43,2021-01-20
PAY00000102,ORD0000102,Credit Card,Success,149043.51,33.85,2022-10-16
PAY00000103,ORD0000103,Credit Card,Success,53901.66,31.08,2023-11-22
PAY00000104,ORD0000104,UPI,Success,50060.84,0.0,2022-10-15
PAY00000105,ORD0000105,UPI,Success,46298.7,0.0,2022-01-25
PAY00000106,ORD0000106,UPI,Success,79262.73,0.0,2024-06-23
PAY00000107,ORD0000107,Debit Card,Success,28417.02,18.18,2022-11-30
PAY00000108,ORD0000108,Credit Card,Success,98677.91,42.79,2021-07-03
PAY00000109,ORD0000109,Netbanking,Success,100216.29,22.62,2024-07-01
PAY00000110,ORD0000110,Wallet,Success,138946.04,45.39,2020-06-20
PAY00000111,ORD0000111,Wallet,Success,66301.23,35.3,2024-01-31
PAY00000112,ORD0000112,Credit Card,Success,64809.52,47.02,2022-05-20
PAY00000113,ORD0000113,UPI,Success,67186.27,0.0,2020-06-10
PAY00000114,ORD0000114,Debit Card,Success,65310.77,13.05,2022-06-03
PAY00000115,ORD0000115,Credit Card,Success,45156.25,47.69,2023-05-18
PAY00000116,ORD0000116,Wallet,Success,45155.18,40.86,2024-08-14
PAY00000117,ORD0000117,Credit Card,Success,12283.23,30.6,2021-01-04
PAY00000118,ORD0000118,Credit Card,Success,49577.65,43.33,2023-01-26
PAY00000119,ORD0000119,Credit Card,Refunded,66158.05,36.86,2021-08-27
PAY00000120,ORD0000120,Debit Card,Success,16628.98,26.83,2021-10-21
PAY00000121,ORD0000121,Debit Card,Success,66268.99,36.82,2020-07-29
PAY00000122,ORD0000122,Netbanking,Success,83791.51,23.62,2020-06-13
PAY00000123,ORD0000123,Wallet,Success,73017.01,47.94,2021-11-06
PAY00000124,ORD0000124,Credit Card,Success,14299.51,27.17,2023-09-17
PAY00000125,ORD0000125,Debit Card,Success,78916.87,10.91,2021-09-01
PAY00000126,ORD0000126,Credit Card,Success,51477.16,21.46,2021-09-23
PAY00000127,ORD0000127,Credit Card,Success,111617.75,32.49,2022-07-02
PAY00000128,ORD0000128,UPI,Success,49938.61,0.0,2023-05-19
PAY00000129,ORD0000129,Wallet,Success,113701.96,48.03,2024-01-12
PAY00000130,ORD0000130,Credit Card,Success,21664.4,48.05,2022-05-26
PAY00000131,ORD0000131,Credit Card,Success,33185.08,32.49,2020-12-10
PAY00000132,ORD0000132,Credit Card,Success,106680.61,5.47,2023-11-17
PAY00000133,ORD0000133,UPI,Success,73160.93,0.0,2022-07-02
PAY00000134,ORD0000134,Credit Card,Success,12399.19,33.94,2021-12-23
PAY00000135,ORD0000135,UPI,Success,63261.68,0.0,2022-07-06
PAY00000136,ORD0000136,Credit Card,Success,22679.89,14.24,2020-03-30
PAY00000137,ORD0000137,Credit Card,Success,55900.2,8.85,2024-01-29
PAY00000138,ORD0000138,UPI,Success,11601.35,0.0,2021-12-24
PAY00000139,ORD0000139,Credit Card,Success,72999.61,16.24,2023-06-14
PAY00000140,ORD0000140,Debit Card,Success,46303.25,44.69,2022-06-10
PAY00000141,ORD0000141,Debit Card,Success,50669.6,43.95,2021-07-18
PAY00000142,ORD0000142,Wallet,Success,117574.53,30.08,2023-08-03
PAY00000143,ORD0000143,Credit Card,Success,20884.77,26.9,2024-06-10
PAY00000144,ORD0000144,Debit Card,Success,56628.86,6.98,2020-04-29
PAY00000145,ORD0000145,Wallet,Refunded,73970.94,49.81,2020-06-05
PAY00000146,ORD0000146,UPI,Success,9885.48,0.0,2023-10-06
PAY00000147,ORD0000147,Wallet,Success,73852.75,23.24,2023-07-30
PAY00000148,ORD0000148,Cash on Delivery,Success,56372.59,32.78,2022-04-11
PAY00000149,ORD0000149,Debit Card,Success,53181.85,23.44,2022-01-15
PAY00000150,ORD0000150,Credit Card,Success,92978.32,41.8,2022-11-16
PAY00000151,ORD0000151,Credit Card,Success,15808.97,8.3,2024-06-28
PAY00000152,ORD0000152,UPI,Success,44815.71,0.0,2024-03-17
PAY00000153,ORD0000153,UPI,Success,22610.85,0.0,2023-10-24
PAY00000154,ORD0000154,Debit Card,Success,77902.8,35.17,2020-11-24
PAY00000155,ORD0000155,Credit Card,Success,9207.33,40.31,2020-03-05
PAY00000156,ORD0000156,Wallet,Success,19468.11,41.83,2020-10-19
PAY00000157,ORD0000157,Wallet,Refunded,117597.01,33.15,2023-06-01
PAY00000158,ORD0000158,Debit Card,Success,39842.99,38.55,2023-10-21
PAY00000159,ORD0000159,UPI,Success,16157.87,0.0,2024-05-21
PAY00000160,ORD0000160,UPI,Failed,53032.85,0.0,2022-06-16
PAY00000161,ORD0000161,Credit Card,Success,30371.49,32.05,2020-03-12
PAY00000162,ORD0000162,Wallet,Success,50824.06,18.87,2020-09-17
PAY00000163,ORD0000163,UPI,Success,43022.4,0.0,2020-05-21
PAY00000164,ORD0000164,Debit Card,Success,89729.91,34.08,2021-05-02
PAY00000165,ORD0000165,Netbanking,Success,49222.27,46.52,2024-05-16
PAY00000166,ORD0000166,UPI,Success,114912.61,0.0,2023-08-17
PAY00000167,ORD0000167,Debit Card,Success,51438.73,23.4,2022-01-24
PAY00000168,ORD0000168,Wallet,Success,92482.76,22.53,2022-01-15
PAY00000169,ORD0000169,Wallet,Success,2685.36,18.71,2022-02-23
PAY00000170,ORD0000170,UPI,Success,8826.65,0.0,2023-03-11
PAY00000171,ORD0000171,Wallet,Success,54999.88,35.39,2020-03-10
PAY00000172,ORD0000172,UPI,Success,41826.77,0.0,2023-05-28
PAY00000173,ORD0000173,Credit Card,Success,65625.6,10.21,2020-11-12
PAY00000174,ORD0000174,Wallet,Success,102665.84,47.61,2023-10-26
PAY00000175,ORD0000175,UPI,Success,88421.09,0.0,2022-07-13
PAY00000176,ORD0000176,Credit Card,Success,66317.69,35.31,2022-01-30
PAY00000177,ORD0000177,Credit Card,Success,32009.57,35.67,2022-02-03
PAY00000178,ORD0000178,Credit Card,Success,88738.73,12.2,2022-07-02
PAY00000179,ORD0000179,Netbanking,Success,43170.34,36.11,2024-04-11
PAY00000180,ORD0000180,Debit Card,Success,63245.59,14.38,2020-06-06
PAY00000181,ORD0000181,Credit Card,Success,26255.29,20.38,2023-03-23
PAY00000182,ORD0000182,Credit Card,Success,43065.17,44.26,2020-10-08
PAY00000183,ORD0000183,Credit Card,Success,82604.71,42.87,2022-12-24
PAY00000184,ORD0000184,UPI,Success,18867.24,0.0,2022-01-22
PAY00000185,ORD0000185,Credit Card,Refunded,76495.58,12.26,2022-03-27
PAY00000186,ORD0000186,Debit Card,Success,40533.48,14.22,2021-10-05
PAY00000187,ORD0000187,Wallet,Success,57364.28,35.44,2023-08-27
PAY00000188,ORD0000188,UPI,Success,102411.68,0.0,2021-07-24
PAY00000189,ORD0000189,Debit Card,Success,50635.84,18.12,2021-05-29
PAY00000190,ORD0000190,Wallet,Success,115610.48,13.22,2020-08-22
PAY00000191,ORD0000191,Credit Card,Success,104170.34,22.95,2020-02-26
PAY00000192,ORD0000192,Credit Card,Success,90870.72,10.55,2024-02-16
PAY00000193,ORD0000193,UPI,Success,8969.15,0.0,2021-01-19
PAY00000194,ORD0000194,Debit Card,Success,139900.55,5.19,2022-10-20
PAY00000195,ORD0000195,Netbanking,Success,66870.16,6.59,2022-11-28
PAY00000196,ORD0000196,Credit Card,Success,27455.92,40.69,2022-03-05
PAY00000197,ORD0000197,Debit Card,Success,24769.94,11.1,2023-02-25
PAY00000198,ORD0000198,Credit Card,Success,109782.6,42.16,2020-09-02
PAY00000199,ORD0000199,Credit Card,Success,75295.85,5.82,2021-06-20
PAY00000200,ORD0000200,Credit Card,Success,64174.45,12.14,2024-05-08
PAY00000201,ORD0000201,Credit Card,Success,40788.36,26.99,2021-06-19
PAY00000202,ORD0000202,Credit Card,Success,118867.6,23.13,2023-12-12
PAY00000203,ORD0000203,Credit Card,Success,59156.42,26.5,2022-07-04
PAY00000204,ORD0000204,Credit Card,Success,39176.31,49.39,2021-03-17
PAY00000205,ORD0000205,Debit Card,Refunded,116536.89,32.64,2023-06-11
PAY00000206,ORD0000206,Credit Card,Success,29634.48,11.56,2021-08-10
PAY00000207,ORD0000207,Credit Card,Success,83256.85,13.12,2023-11-25
PAY00000208,ORD0000208,Credit Card,Success,92275.87,40.14,2022-10-02
PAY00000209,ORD0000209,Netbanking,Success,109963.56,19.57,2021-02-14
PAY00000210,ORD0000210,Wallet,Success,78863.65,32.8,2020-09-08
PAY00000211,ORD0000211,Credit Card,Success,68796.36,23.4,2020-10-06
PAY00000212,ORD0000212,Wallet,Success,53454.19,8.85,2020-06-03
PAY00000213,ORD0000213,Debit Card,Success,28291.54,49.83,2022-07-17
PAY00000214,ORD0000214,Credit Card,Success,7742.97,23.63,2020-12-20
PAY00000215,ORD0000215,Cash on Delivery,Success,77718.31,11.2,2024-01-03
PAY00000216,ORD0000216,Debit Card,Success,11037.14,42.21,2022-06-30
PAY00000217,ORD0000217,Credit Card,Success,25536.49,26.31,2020-06-29
PAY00000218,ORD0000218,Debit Card,Success,64735.46,10.56,2024-07-21
PAY00000219,ORD0000219,Credit Card,Success,20871.94,31.01,2023-10-28
PAY00000220,ORD0000220,UPI,Success,118910.78,0.0,2021-10-18
PAY00000221,ORD0000221,Credit Card,Success,48139.73,19.83,2023-10-03
PAY00000222,ORD0000222,Credit Card,Success,65309.17,27.61,2021-12-15
PAY00000223,ORD0000223,Credit Card,Success,136065.77,44.67,2023-12-27
PAY00000224,ORD0000224,UPI,Success,20824.58,0.0,2020-05-13
PAY00000225,ORD0000225,UPI,Success,15538.68,0.0,2023-02-04
PAY00000226,ORD0000226,UPI,Success,56589.95,0.0,2023-01-17
PAY00000227,ORD0000227,Debit Card,Failed,5242.68,26.75,2021-08-20
PAY00000228,ORD0000228,Credit Card,Success,12831.8,39.55,2021-09-06
PAY00000229,ORD0000229,Wallet,Success,95423.33,19.07,2020-11-21
PAY00000230,ORD0000230,Debit Card,Success,13302.4,20.4,2023-12-29
PAY00000231,ORD0000231,UPI,Success,56817.85,0.0,2023-12-26
PAY00000232,ORD0000232,Debit Card,Success,2917.1,27.08,2023-12-07
PAY00000233,ORD0000233,Wallet,Success,13158.24,19.3,2023-08-02
PAY00000234,ORD0000234,Credit Card,Success,82238.43,26.47,2020-12-26
PAY00000235,ORD0000235,Credit Card,Success,105272.65,17.34,2024-06-17
PAY00000236,ORD0000236,UPI,Success,69441.35,0.0,2022-01-14
PAY00000237,ORD0000237,UPI,Success,89004.23,0.0,2022-11-09
PAY00000238,ORD0000238,Wallet,Success,124943.33,29.4,2021-04-04
PAY00000239,ORD0000239,Debit Card,Success,39773.58,24.44,2020-09-07
PAY00000240,ORD0000240,Netbanking,Success,23596.24,18.66,2021-02-17
PAY00000241,ORD0000241,Wallet,Success,123487.41,38.87,2024-06-13
PAY00000242,ORD0000242,Netbanking,Success,60284.0,43.28,2020-10-14
PAY00000243,ORD0000243,UPI,Success,58891.38,0.0,2021-05-03
PAY00000244,ORD0000244,Wallet,Success,50666.44,49.87,2024-06-08
PAY00000245,ORD0000245,Debit Card,Success,25535.56,33.32,2022-10-10
PAY00000246,ORD0000246,Netbanking,Success,40384.97,44.66,2020-02-24
PAY00000247,ORD0000247,Credit Card,Success,79880.86,26.34,2022-01-12
PAY00000248,ORD0000248,Credit Card,Success,24066.34,36.99,2023-02-09
PAY00000249,ORD0000249,Debit Card,Success,97921.45,49.38,2023-03-20
PAY00000250,ORD0000250,Netbanking,Success,31252.4,47.49,2022-01-25
PAY00000251,ORD0000251,Debit Card,Success,12739.18,14.84,2022-08-16
PAY00000252,ORD0000252,Credit Card,Success,14992.2,38.21,2024-07-06
PAY00000253,ORD0000253,UPI,Success,66420.99,0.0,2023-02-05
PAY00000254,ORD0000254,Netbanking,Success,2319.03,48.7,2020-09-23
PAY00000255,ORD0000255,Debit Card,Success,48581.49,40.59,2023-06-10
PAY00000256,ORD0000256,Credit Card,Success,57655.1,41.68,2020-06-27
PAY00000257,ORD0000257,Debit Card,Success,69511.65,47.15,2020-05-16
PAY00000258,ORD0000258,UPI,Success,108119.36,0.0,2021-09-26
PAY00000259,ORD0000259,Debit Card,Success,92928.63,19.14,2022-03-27
PAY00000260,ORD0000260,Credit Card,Success,22135.55,34.75,2024-01-11
PAY00000261,ORD0000261,Debit Card,Success,175.64,29.14,2024-01-12
PAY00000262,ORD0000262,Debit Card,Success,52490.8,37.88,2022-09-08
PAY00000263,ORD0000263,Debit Card,Success,6233.73,16.84,2022-12-15
PAY00000264,ORD0000264,UPI,Success,30331.4,0.0,2022-04-23
PAY00000265,ORD0000265,Credit Card,Success,13799.07,17.51,2024-04-27
PAY00000266,ORD0000266,Wallet,Success,94129.56,37.66,2022-04-19
PAY00000267,ORD0000267,UPI,Success,37265.74,0.0,2024-08-17
PAY00000268,ORD0000268,Debit Card,Success,20929.37,13.02,2023-03-24
PAY00000269,ORD0000269,Credit Card,Success,66009.61,48.2,2020-06-03
PAY00000270,ORD0000270,Credit Card,Refunded,49287.57,29.63,2020-09-17
PAY00000271,ORD0000271,Debit Card,Success,11301.06,44.7,2021-10-12
PAY00000272,ORD0000272,UPI,Success,276.78,0.0,2023-08-08
PAY00000273,ORD0000273,UPI,Success,6994.76,0.0,2020-06-04
PAY00000274,ORD0000274,Debit Card,Success,23959.57,47.71,2022-07-13
PAY00000275,ORD0000275,Debit Card,Success,133991.4,49.7,2022-08-16
PAY00000276,ORD0000276,Credit Card,Success,30495.27,14.01,2023-10-28
PAY00000277,ORD0000277,Debit Card,Success,72326.03,30.3,2022-11-28
PAY00000278,ORD0000278,Credit Card,Success,72358.0,37.2,2021-12-06
PAY00000279,ORD0000279,Wallet,Success,87970.89,20.51,2020-09-22
PAY00000280,ORD0000280,Debit Card,Success,51229.49,23.42,2024-08-28
PAY00000281,ORD0000281,Credit Card,Success,33394.3,27.5,2024-05-19
PAY00000282,ORD0000282,Wallet,Success,69128.51,7.94,2023-02-05
PAY00000283,ORD0000283,Wallet,Success,17352.65,31.26,2023-08-06
PAY00000284,ORD0000284,Credit Card,Success,78601.61,22.31,2023-04-18
PAY00000285,ORD0000285,Debit Card,Success,26522.96,37.79,2021-01-10
PAY00000286,ORD0000286,Wallet,Success,115277.82,15.57,2024-04-23
PAY00000287,ORD0000287,Wallet,Failed,40519.72,40.21,2020-09-23
PAY00000288,ORD0000288,Debit Card,Success,10235.13,8.69,2022-06-09
PAY00000289,ORD0000289,Debit Card,Success,12218.46,18.69,2022-10-29
PAY00000290,ORD0000290,Credit Card,Success,37054.0,29.93,2020-04-26
PAY00000291,ORD0000291,UPI,Success,54757.31,0.0,2020-09-11
PAY00000292,ORD0000292,Credit Card,Success,37259.19,14.89,2022-11-30
PAY00000293,ORD0000293,Wallet,Success,57456.07,12.18,2020-11-10
PAY00000294,ORD0000294,UPI,Success,45958.28,0.0,2021-09-16
PAY00000295,ORD0000295,Cash on Delivery,Success,28230.96,24.05,2020-12-03
PAY00000296,ORD0000296,Debit Card,Success,77160.57,37.27,2020-11-27
PAY00000297,ORD0000297,Debit Card,Success,10140.19,31.49,2021-10-26
PAY00000298,ORD0000298,Credit Card,Success,70588.16,32.62,2023-12-26
PAY00000299,ORD0000299,Credit Card,Success,73061.89,47.13,2021-04-09
PAY00000300,ORD0000300,UPI,Success,107217.75,0.0,2021-12-12
PAY00000301,ORD0000301,Netbanking,Success,50818.61,17.09,2022-12-02
PAY00000302,ORD0000302,Debit Card,Success,39396.76,24.59,2021-08-07
PAY00000303,ORD0000303,Credit Card,Success,2667.13,25.03,2020-06-13
PAY00000304,ORD0000304,UPI,Success,129802.06,0.0,2021-05-30
PAY00000305,ORD0000305,UPI,Success,100711.19,0.0,2021-02-09
PAY00000306,ORD0000306,UPI,Success,88865.54,0.0,2023-07-24
PAY00000307,ORD0000307,Netbanking,Success,871.77,40.17,2023-02-05
PAY00000308,ORD0000308,Credit Card,Success,21125.74,27.02,2021-07-17
PAY00000309,ORD0000309,Wallet,Success,92189.78,43.58,2020-09-14
PAY00000310,ORD0000310,Credit Card,Success,54745.52,11.99,2023-07-05
PAY00000311,ORD0000311,UPI,Success,66255.57,0.0,2021-09-14
PAY00000312,ORD0000312,UPI,Success,8589.39,0.0,2023-06-13
PAY00000313,ORD0000313,Debit Card,Success,21630.26,18.4,2022-12-29
PAY00000314,ORD0000314,UPI,Success,48501.26,0.0,2020-07-14
PAY00000315,ORD0000315,Credit Card,Success,13823.29,19.68,2022-10-27
PAY00000316,ORD0000316,Credit Card,Success,36354.72,39.99,2023-08-06
PAY00000317,ORD0000317,Credit Card,Success,95342.51,31.74,2020-12-14
PAY00000318,ORD0000318,Credit Card,Success,176278.2,47.4,2023-04-27
PAY00000319,ORD0000319,Wallet,Success,17192.34,42.42,2023-04-04
PAY00000320,ORD0000320,Credit Card,Success,93845.65,10.62,2020-11-12
PAY00000321,ORD0000321,UPI,Success,84828.84,0.0,2020-12-19
PAY00000322,ORD0000322,Wallet,Success,73174.84,27.41,2023-09-12
PAY00000323,ORD0000323,Netbanking,Success,10161.06,28.2,2023-07-02
PAY00000324,ORD0000324,Wallet,Success,48814.45,46.37,2024-01-16
PAY00000325,ORD0000325,Wallet,Success,50950.76,5.76,2023-05-25
PAY00000326,ORD0000326,Credit Card,Success,37880.17,18.87,2021-11-22
PAY00000327,ORD0000327,Credit Card,Success,112399.81,5.26,2023-03-01
PAY00000328,ORD0000328,Debit Card,Success,30360.33,12.05,2020-03-29
PAY00000329,ORD0000329,UPI,Success,113733.74,0.0,2024-08-21
PAY00000330,ORD0000330,Credit Card,Refunded,85263.08,24.28,2020-03-03
PAY00000331,ORD0000331,Credit Card,Success,2467.77,43.67,2020-06-18
PAY00000332,ORD0000332,Debit Card,Success,12189.59,7.27,2020-04-03
PAY00000333,ORD0000333,Credit Card,Success,90239.03,14.77,2023-08-10
PAY00000334,ORD0000334,UPI,Success,133782.96,0.0,2024-05-01
PAY00000335,ORD0000335,Credit Card,Success,14350.66,43.75,2023-03-28
PAY00000336,ORD0000336,Wallet,Success,84470.37,29.82,2021-06-29
PAY00000337,ORD0000337,Debit Card,Failed,148241.69,7.68,2023-08-30
PAY00000338,ORD0000338,UPI,Success,1141.02,0.0,2021-03-07
PAY00000339,ORD0000339,Debit Card,Success,99001.1,43.57,2024-04-23
PAY00000340,ORD0000340,UPI,Failed,95708.99,0.0,2023-03-21
PAY00000341,ORD0000341,Credit Card,Success,42490.21,11.0,2022-05-04
PAY00000342,ORD0000342,Wallet,Success,6852.83,25.13,2023-06-23
PAY00000343,ORD0000343,Credit Card,Success,48026.95,31.88,2023-08-03
PAY00000344,ORD0000344,UPI,Success,24024.37,0.0,2020-03-06
PAY00000345,ORD0000345,UPI,Success,11927.78,0.0,2022-10-16
PAY00000346,ORD0000346,Credit Card,Success,19677.03,32.89,2023-07-12
PAY00000347,ORD0000347,UPI,Failed,3359.98,0.0,2023-01-25
PAY00000348,ORD0000348,Debit Card,Success,27144.04,44.54,2021-08-17
PAY00000349,ORD0000349,Debit Card,Success,57956.26,32.49,2023-08-10
PAY00000350,ORD0000350,UPI,Success,7206.12,0.0,2021-09-10
PAY00000351,ORD0000351,UPI,Success,75563.71,0.0,2022-09-17
PAY00000352,ORD0000352,Credit Card,Success,79981.17,23.17,2021-05-16
PAY00000353,ORD0000353,UPI,Success,5679.18,0.0,2024-07-09
PAY00000354,ORD0000354,Wallet,Success,76089.48,34.71,2024-07-13
PAY00000355,ORD0000355,Credit Card,Success,5110.07,19.99,2023-11-05
PAY00000356,ORD0000356,Credit Card,Success,68948.52,34.67,2022-04-12
PAY00000357,ORD0000357,Debit Card,Success,12514.94,23.53,2021-09-04
PAY00000358,ORD0000358,Credit Card,Success,110731.99,29.08,2022-07-18
PAY00000359,ORD0000359,Credit Card,Success,47644.72,43.36,2020-06-01
PAY00000360,ORD0000360,Wallet,Success,77424.77,27.68,2023-11-15
PAY00000361,ORD0000361,Credit Card,Success,20265.39,48.41,2020-05-06
