loyalty_txn_id,customer_id,points,txn_date,reason
LT0000054,CUST000171,432,2022-01-03,Order Earn
LT0000055,CUST001968,115,2024-07-18,Order Earn
LT0000056,CUST002130,260,2020-07-05,Promo Bonus
LT0000057,CUST002160,317,2023-02-27,Manual Adjust
LT0000058,CUST002238,300,2023-08-10,Order Redeem
LT0000059,CUST001158,76,2021-10-18,Order Redeem
LT0000060,CUST001835,372,2024-04-12,Order Redeem
LT0000061,CUST001200,-77,2023-07-06,Manual Adjust
LT0000062,CUST001656,397,2022-06-10,Manual Adjust
LT0000063,CUST000338,241,2022-10-01,Order Earn
LT0000064,CUST002013,339,2020-08-01,Promo Bonus
LT0000065,CUST002299,123,2022-09-18,Manual Adjust
LT0000066,CUST001253,454,2022-10-16,Promo Bonus
LT0000067,CUST000226,259,2022-12-16,Order Earn
LT0000068,CUST000771,312,2020-07-01,Promo Bonus
LT0000069,CUST002407,243,2024-03-11,Order Redeem
LT0000070,CUST001285,-33,2024-02-22,Order Earn
LT0000071,CUST002189,296,2020-02-27,Order Earn
LT0000072,CUST001241,105,2022-02-27,Order Redeem
LT0000073,CUST001441,-15,2023-01-06,Order Earn
LT0000074,CUST001777,153,2024-02-21,Order Redeem
LT0000075,CUST002084,-71,2022-01-29,Order Earn
LT0000076,CUST000879,349,2020-07-21,Manual Adjust
LT0000077,CUST000761,325,2021-03-29,Promo Bonus
LT0000078,CUST000299,128,2024-01-02,Order Redeem
LT0000079,CUST002029,137,2021-02-27,Order Earn
LT0000080,CUST000186,53,2022-02-20,Order Redeem
LT0000081,CUST000477,216,2021-08-17,Order Earn
LT0000082,CUST000985,488,2023-09-12,Promo Bonus
LT0000083,CUST000726,248,2022-03-09,Order Redeem
LT0000084,CUST001523,112,2022-04-03,Order Earn
LT0000085,CUST000639,265,2020-10-17,Order Redeem
LT0000086,CUST001058,411,2022-05-15,Promo Bonus
LT0000087,CUST000840,441,2023-08-31,Promo Bonus
LT0000088,CUST001677,30,2023-11-14,Order Earn
LT0000089,CUST001704,-27,2024-08-13,Manual Adjust
LT0000090,CUST001545,259,2021-07-23,Order Redeem
LT0000091,CUST002000,-93,2021-06-03,Order Earn
LT0000092,CUST001620,266,2020-03-26,Manual Adjust
LT0000093,CUST000528,459,2023-09-19,Order Redeem
LT0000094,CUST000289,448,2023-07-29,Order Earn
LT0000095,CUST000473,46,2020-11-21,Manual Adjust
LT0000096,CUST000273,438,2021-01-10,Promo Bonus
LT0000097,CUST000686,304,2024-02-24,Promo Bonus
LT0000098,CUST001632,408,2021-08-06,Promo Bonus
LT0000099,CUST001167,19,2023-03-13,Promo Bonus
LT0000100,CUST000445,482,2024-04-07,Order Earn
LT0000101,CUST001618,346,2024-08-12,Order Redeem
LT0000102,CUST000355,-26,2023-02-10,Manual Adjust
LT0000103,CUST000823,21,2020-09-17,Order Earn
LT0000104,CUST001921,54,2022-09-07,Order Earn
LT0000105,CUST000457,105,2021-04-13,Order Earn
LT0000106,CUST001590,225,2021-01-12,Order Earn
LT0000107,CUST000277,460,2021-05-10,Manual Adjust
LT0000108,CUST001520,-30,2022-06-16,Order Redeem
LT0000109,CUST001811,-57,2023-05-07,Order Earn
LT0000110,CUST002063,280,2024-04-19,Order Redeem
LT0000111,CUST000862,-92,2024-01-24,Promo Bonus
LT0000112,CUST000180,391,2023-03-10,Order Earn
LT0000113,CUST000626,479,2021-11-30,Promo Bonus
LT0000114,CUST000719,197,2021-12-18,Manual Adjust
LT0000115,CUST000822,340,2023-08-12,Order Earn
LT0000116,CUST001603,228,2022-02-17,Order Redeem
LT0000117,CUST001196,-7,2022-11-01,Order Earn
LT0000118,CUST000923,476,2021-01-11,Order Redeem
LT0000119,CUST001376,204,2023-09-09,Manual Adjust
LT0000120,CUST000104,439,2022-06-21,Order Earn
LT0000121,CUST001007,4,2023-05-17,Promo Bonus
LT0000122,CUST002281,212,2020-11-25,Order Redeem
LT0000123,CUST002242,381,2021-10-12,Order Earn
LT0000124,CUST000457,365,2023-11-03,Order Earn
LT0000125,CUST001680,479,2022-11-26,Order Earn
LT0000126,CUST000696,169,2024-01-22,Promo Bonus
LT0000127,CUST001518,129,2020-03-19,Order Redeem
LT0000128,CUST000426,148,2023-11-02,Order Redeem
LT0000129,CUST000025,-81,2022-02-19,Order Earn
LT0000130,CUST002305,453,2020-04-29,Manual Adjust
LT0000131,CUST002323,2,2020-09-02,Order Redeem
LT0000132,CUST000145,319,2023-02-28,Order Earn
LT0000133,CUST000082,-70,2023-08-21,Manual Adjust
LT0000134,CUST002341,89,2023-08-13,Manual Adjust
LT0000135,CUST001157,71,2023-11-05,Manual Adjust
LT0000136,CUST001842,248,2024-03-12,Order Redeem
LT0000137,CUST002010,255,2023-06-08,Promo Bonus
LT0000138,CUST001414,117,2023-07-27,Manual Adjust
LT0000139,CUST001963,189,2020-11-09,Manual Adjust
LT0000140,CUST002198,207,2022-01-07,Order Redeem
LT0000141,CUST000592,305,2021-08-10,Order Redeem
LT0000142,CUST001592,354,2021-06-10,Order Redeem
LT0000143,CUST001508,-43,2024-02-24,Order Earn
LT0000144,CUST001769,342,2024-07-07,Promo Bonus
LT0000145,CUST000590,-7,2020-03-28,Manual Adjust
LT0000146,CUST001681,252,2023-12-26,Order Redeem
LT0000147,CUST001648,136,2020-09-13,Promo Bonus
LT0000148,CUST000853,80,2022-04-11,Manual Adjust
LT0000149,CUST001712,368,2022-08-01,Manual Adjust
LT0000150,CUST001819,-7,2022-03-06,Manual Adjust
LT0000151,CUST001490,271,2021-11-22,Promo Bonus
LT0000152,CUST001634,-99,2020-09-29,Order Redeem
LT0000153,CUST001008,53,2021-03-20,Order Redeem
LT0000154,CUST002329,-10,2021-02-02,Promo Bonus
LT0000155,CUST001898,94,2023-01-27,Manual Adjust
LT0000156,CUST001536,-53,2023-08-11,Promo Bonus
LT0000157,CUST000875,411,2022-03-15,Order Redeem
LT0000158,CUST001927,286,2020-08-10,Manual Adjust
LT0000159,CUST001231,-44,2024-05-05,Manual Adjust
LT0000160,CUST000209,173,2021-02-12,Order Redeem
LT0000161,CUST001384,490,2023-02-03,Order Redeem
LT0000162,CUST001575,0,2022-11-25,Manual Adjust
LT0000163,CUST000739,252,2022-06-26,Order Earn
LT0000164,CUST000846,71,2022-03-01,Order Redeem
LT0000165,CUST001120,203,2024-03-07,Order Redeem
LT0000166,CUST001647,-84,2023-03-23,Order Redeem
LT0000167,CUST000618,3,2022-04-22,Promo Bonus
LT0000168,CUST001920,102,2021-05-18,Order Redeem
LT0000169,CUST001994,-31,2021-10-09,Order Earn
LT0000170,CUST000398,-47,2024-05-30,Order Earn
LT0000171,CUST000352,-86,2020-02-13,Order Earn
LT0000172,CUST000217,4,2021-11-09,Order Earn
LT0000173,CUST001284,75,2021-12-31,Order Redeem
LT0000174,CUST000617,317,2021-03-12,Promo Bonus
LT0000175,CUST000271,2,2022-01-13,Promo Bonus
LT0000176,CUST002390,454,2024-08-23,Manual Adjust
LT0000177,CUST001946,236,2021-11-24,Order Redeem
LT0000178,CUST001187,373,2021-09-13,Order Earn
LT0000179,CUST002302,-37,2020-11-23,Order Redeem
LT0000180,CUST000669,305,2022-04-30,Order Earn
LT0000181,CUST002181,88,2023-06-20,Manual Adjust
LT0000182,CUST000649,446,2023-02-24,Manual Adjust
LT0000183,CUST001152,488,2023-11-14,Order Redeem
LT0000184,CUST000465,131,2023-09-21,Order Redeem
LT0000185,CUST001823,258,2020-07-17,Order Earn
LT0000186,CUST000556,-31,2022-02-19,Manual Adjust
LT0000187,CUST001554,9,2022-09-03,Order Redeem
LT0000188,CUST000082,242,2023-04-15,Promo Bonus
LT0000189,CUST001807,460,2023-04-12,Order Redeem
LT0000190,CUST001833,388,2020-02-10,Manual Adjust
LT0000191,CUST002322,-8,2021-12-05,Promo Bonus
LT0000192,CUST000349,294,2022-01-27,Order Earn
LT0000193,CUST000726,204,2020-10-03,Promo Bonus
LT0000194,CUST001613,274,2020-11-02,Order Earn
LT0000195,CUST000808,352,2023-07-22,Promo Bonus
LT0000196,CUST001198,-82,2023-12-27,Order Earn
LT0000197,CUST001453,120,2023-05-19,Manual Adjust
LT0000198,CUST000066,185,2023-06-27,Manual Adjust
LT0000199,CUST000693,229,2022-01-17,Promo Bonus
LT0000200,CUST000787,58,2022-11-17,Promo Bonus
LT0000201,CUST002132,174,2020-02-18,Manual Adjust
LT0000202,CUST001305,240,2020-12-07,Order Earn
LT0000203,CUST000979,-95,2023-12-05,Promo Bonus
LT0000204,CUST001078,456,2022-07-08,Manual Adjust
LT0000205,CUST001383,473,2020-03-23,Promo Bonus
LT0000206,CUST001877,-82,2023-09-12,Order Earn
LT0000207,CUST001364,440,2023-02-03,Order Earn
LT0000208,CUST000536,239,2023-07-02,Order Earn
LT0000209,CUST002350,-53,2020-02-09,Promo Bonus
LT0000210,CUST001560,-59,2021-02-12,Manual Adjust
LT0000211,CUST001557,362,2022-03-06,Order Earn
LT0000212,CUST001108,279,2023-11-28,Manual Adjust
LT0000213,CUST001375,-30,2022-01-21,Manual Adjust
LT0000214,CUST001668,278,2023-12-19,Promo Bonus
LT0000215,CUST000543,139,2021-12-10,Promo Bonus
LT0000216,CUST002263,26,2021-01-30,Manual Adjust
LT0000217,CUST001154,447,2021-06-30,Order Earn
LT0000218,CUST001843,293,2023-10-07,Order Earn
LT0000219,CUST001306,70,2022-11-08,Order Earn
LT0000220,CUST000095,-85,2024-07-18,Order Redeem
LT0000221,CUST000439,228,2021-05-12,Order Earn
LT0000222,CUST000726,-52,2022-02-03,Order Earn
LT0000223,CUST000631,103,2023-03-17,Order Redeem
LT0000224,CUST000358,329,2020-06-03,Order Earn
LT0000225,CUST000056,416,2024-02-17,Promo Bonus
LT0000226,CUST000289,338,2020-11-15,Manual Adjust
LT0000227,CUST001356,35,2024-05-28,Order Earn
LT0000228,CUST000500,145,2020-04-25,Order Redeem
LT0000229,CUST000818,-47,2024-03-07,Order Earn
LT0000230,CUST000761,-96,2020-07-06,Order Earn
LT0000231,CUST000016,71,2022-06-05,Order Redeem
LT0000232,CUST000862,161,2020-04-12,Order Earn
LT0000233,CUST001585,-45,2021-10-18,Order Redeem
LT0000234,CUST001950,46,2024-08-01,Order Redeem
LT0000235,CUST002029,276,2023-05-24,Order Redeem
LT0000236,CUST001922,252,2021-08-12,Order Earn
LT0000237,CUST001813,235,2021-01-13,Order Earn
LT0000238,CUST000326,-50,2020-12-26,Order Redeem
LT0000239,CUST001079,-94,2020-10-21,Order Redeem
LT0000240,CUST000508,-85,2023-12-10,Order Earn
LT0000241,CUST000771,441,2021-01-18,Promo Bonus
LT0000242,CUST000933,473,2020-11-28,Manual Adjust
LT0000243,CUST002427,259,2021-08-30,Manual Adjust
LT0000244,CUST002076,172,2023-08-04,Promo Bonus
LT0000245,CUST000894,291,2022-05-23,Promo Bonus
LT0000246,CUST001413,296,2024-02-15,Order Redeem
LT0000247,CUST002174,222,2020-01-15,Promo Bonus
LT0000248,CUST001153,379,2024-03-24,Order Redeem
LT0000249,CUST000265,-26,2020-05-06,Order Earn
LT0000250,CUST002024,63,2021-12-05,Order Earn
LT0000251,CUST001762,120,2020-06-12,Manual Adjust
LT0000252,CUST000050,-96,2024-03-04,Order Earn
LT0000253,CUST001305,435,2023-04-19,Promo Bonus
LT0000254,CUST002481,-18,2023-10-20,Order Earn
LT0000255,CUST002332,403,2021-06-21,Promo Bonus
LT0000256,CUST001847,244,2022-01-03,Manual Adjust
LT0000257,CUST001518,250,2022-10-20,Promo Bonus
LT0000258,CUST002004,180,2021-10-03,Order Redeem
LT0000259,CUST000935,179,2023-04-17,Order Redeem
LT0000260,CUST000175,353,2023-11-15,Promo Bonus
LT0000261,CUST001679,497,2022-08-10,Manual Adjust
LT0000262,CUST001329,173,2024-06-18,Manual Adjust
LT0000263,CUST001900,100,2022-08-09,Manual Adjust
LT0000264,CUST000626,-41,2020-10-17,Manual Adjust
LT0000265,CUST001719,292,2020-02-20,Order Redeem
LT0000266,CUST001298,334,2022-02-20,Order Redeem
LT0000267,CUST001637,-18,2022-01-18,Order Earn
LT0000268,CUST001780,-48,2024-06-08,Order Redeem
LT0000269,CUST000619,224,2023-04-29,Order Redeem
LT0000270,CUST000889,88,2020-07-13,Order Earn
LT0000271,CUST001603,376,2022-08-25,Order Redeem
LT0000272,CUST001110,196,2021-11-21,Order Redeem
LT0000273,CUST000089,473,2022-10-15,Manual Adjust
LT0000274,CUST000649,80,2021-09-13,Promo Bonus
LT0000275,CUST000933,-67,2021-01-24,Manual Adjust
LT0000276,CUST002486,49,2024-01-22,Manual Adjust
LT0000277,CUST001773,23,2022-06-10,Order Redeem
LT0000278,CUST001997,-18,2023-09-25,Order Earn
LT0000279,CUST001448,375,2020-08-05,Order Earn
LT0000280,CUST001325,-63,2023-12-16,Manual Adjust
LT0000281,CUST002490,286,2021-08-15,Order Redeem
LT0000282,CUST000964,336,2022-11-28,Manual Adjust
LT0000283,CUST000887,331,2022-05-02,Manual Adjust
LT0000284,CUST000054,309,2021-09-22,Order Redeem
LT0000285,CUST001387,181,2023-07-15,Promo Bonus
LT0000286,CUST001758,402,2023-06-06,Order Earn
LT0000287,CUST002454,303,2020-09-22,Promo Bonus
LT0000288,CUST001398,320,2024-01-24,Promo Bonus
LT0000289,CUST000525,-5,2022-01-26,Manual Adjust
LT0000290,CUST000259,367,2020-02-06,Manual Adjust
LT0000291,CUST001516,87,2022-05-04,Order Redeem
LT0000292,CUST000858,400,2021-10-30,Order Redeem
LT0000293,CUST001281,2,2023-07-22,Manual Adjust
LT0000294,CUST001150,338,2023-02-10,Promo Bonus
LT0000295,CUST002365,380,2024-06-13,Promo Bonus
LT0000296,CUST000797,158,2020-09-17,Promo Bonus
LT0000297,CUST002345,91,2021-04-13,Order Redeem
LT0000298,CUST001021,481,2022-09-27,Manual Adjust
LT0000299,CUST000080,152,2021-10-03,Order Earn
LT0000300,CUST001574,-75,2024-03-16,Order Redeem
LT0000301,CUST001318,-84,2020-06-15,Manual Adjust
LT0000302,CUST001896,218,2023-05-19,Promo Bonus
LT0000303,CUST000275,54,2022-07-09,Manual Adjust
LT0000304,CUST000792,-87,2024-06-08,Promo Bonus
LT0000305,CUST000587,27,2022-01-15,Order Earn
LT0000306,CUST001941,490,2021-05-20,Order Redeem
LT0000307,CUST000013,431,2021-11-01,Promo Bonus
LT0000308,CUST001977,-52,2023-02-24,Order Redeem
LT0000309,CUST001118,-13,2021-10-17,Manual Adjust
LT0000310,CUST001287,131,2023-05-23,Order Redeem
LT0000311,CUST000771,70,2023-05-08,Order Earn
LT0000312,CUST001211,-28,2024-02-11,Order Earn
LT0000313,CUST000799,-48,2022-12-08,Promo Bonus
LT0000314,CUST001017,117,2024-06-07,Manual Adjust
LT0000315,CUST001733,497,2023-12-05,Order Earn
LT0000316,CUST001222,239,2021-06-18,Order Redeem
LT0000317,CUST000591,104,2021-08-29,Order Earn
LT0000318,CUST000119,283,2023-08-27,Manual Adjust
LT0000319,CUST000323,162,2022-01-24,Manual Adjust
LT0000320,CUST000605,434,2022-07-03,Manual Adjust
LT0000321,CUST002275,344,2020-11-17,Manual Adjust
LT0000322,CUST001287,178,2020-08-08,Promo Bonus
LT0000323,CUST001868,18,2021-07-19,Order Redeem
LT0000324,CUST002485,442,2022-07-17,Promo Bonus
LT0000325,CUST000668,209,2023-04-16,Order Redeem
LT0000326,CUST001323,131,2020-02-04,Order Earn
LT0000327,CUST000215,-90,2021-10-30,Manual Adjust
LT0000328,CUST001511,477,2020-10-17,Promo Bonus
LT0000329,CUST001537,377,2023-01-31,Order Earn
LT0000330,CUST001779,16,2023-08-16,Promo Bonus
LT0000331,CUST001621,-36,2020-12-30,Promo Bonus
LT0000332,CUST000142,38,2023-08-11,Promo Bonus
LT0000333,CUST001328,-28,2023-03-04,Order Earn
LT0000334,CUST002096,-43,2020-04-24,Order Redeem
LT0000335,CUST002035,425,2020-05-10,Order Earn
LT0000336,CUST000574,105,2020-11-06,Order Earn
LT0000337,CUST002142,347,2020-11-30,Order Redeem
LT0000338,CUST000377,420,2024-03-25,Promo Bonus
LT0000339,CUST001463,28,2021-11-23,Order Earn
LT0000340,CUST001691,451,2021-12-04,Order Earn
LT0000341,CUST002018,373,2022-03-31,Order Earn
LT0000342,CUST002150,368,2022-05-02,Manual Adjust
LT0000343,CUST000635,-82,2023-01-27,Order Earn
LT0000344,CUST000849,396,2022-07-07,Order Redeem
LT0000345,CUST000473,413,2024-04-11,Promo Bonus
LT0000346,CUST000932,302,2021-05-05,Order Earn
LT0000347,CUST002285,363,2020-02-19,Order Earn
LT0000348,CUST000924,258,2022-09-07,Order Earn
LT0000349,CUST000173,10,2021-03-24,Order Redeem
LT0000350,CUST000626,458,2020-10-08,Promo Bonus
LT0000351,CUST001323,-2,2022-03-04,Manual Adjust
LT0000352,CUST000079,406,2022-11-10,Promo Bonus
LT0000353,CUST002017,18,2020-02-18,Manual Adjust
LT0000354,CUST002253,495,2020-05-19,Order Earn
LT0000355,CUST000820,479,2023-04-22,Order Earn
LT0000356,CUST000856,12,2021-04-15,Manual Adjust
LT0000357,CUST000030,129,2021-12-16,Order Earn
LT0000358,CUST002383,320,2022-01-23,Order Redeem
LT0000359,CUST001627,105,2021-03-11,Order Redeem
LT0000360,CUST002197,306,2020-01-16,Promo Bonus
LT0000361,CUST001089,-32,2023-02-13,Promo Bonus
LT0000362,CUST002093,-87,2022-03-06,Order Redeem
LT0000363,CUST000826,455,2024-03-24,Promo Bonus
LT0000364,CUST001371,183,2021-02-04,Promo Bonus
LT0000365,CUST001067,105,2022-03-15,Order Earn
LT0000366,CUST001169,494,2022-07-13,Order Earn
LT0000367,CUST001825,161,2023-05-20,Manual Adjust
LT0000368,CUST000839,42,2021-01-13,Order Earn
LT0000369,CUST000171,68,2022-03-04,Order Earn
LT0000370,CUST000843,-17,2021-02-13,Promo Bonus
LT0000371,CUST000878,269,2023-04-29,Promo Bonus
LT0000372,CUST001479,95,2022-08-07,Order Earn
LT0000373,CUST000942,489,2023-03-06,Promo Bonus
LT0000374,CUST000889,139,2022-11-12,Order Earn
LT0000375,CUST001270,192,2020-01-26,Order Redeem
LT0000376,CUST000742,-44,2021-11-14,Order Redeem
LT0000377,CUST002047,-28,2024-01-14,Manual Adjust
LT0000378,CUST001341,365,2022-07-26,Manual Adjust
LT0000379,CUST002466,174,2024-03-23,Order Redeem
LT0000380,CUST002014,55,2022-09-10,Promo Bonus
LT0000381,CUST001018,38,2020-06-08,Order Earn
LT0000382,CUST000002,289,2020-03-04,Order Earn
LT0000383,CUST000046,219,2021-07-15,Order Earn
LT0000384,CUST001243,170,2022-06-30,Manual Adjust
LT0000385,CUST002327,181,2020-11-22,Order Earn
LT0000386,CUST000220,-23,2022-01-23,Order Redeem
LT0000387,CUST000782,48,2022-05-16,Promo Bonus
LT0000388,CUST000312,215,2021-07-27,Manual Adjust
LT0000389,CUST000092,126,2021-09-01,Order Earn
LT0000390,CUST000492,264,2021-09-10,Order Redeem
LT0000391,CUST001077,-90,2022-07-24,Order Redeem
LT0000392,CUST000493,240,2023-07-27,Order Earn
LT0000393,CUST001952,-92,2020-12-23,Order Earn
LT0000394,CUST000462,54,2020-06-25,Order Redeem
LT0000395,CUST001865,105,2023-04-02,Promo Bonus
LT0000396,CUST001107,462,2020-02-16,Manual Adjust
LT0000397,CUST000260,162,2024-02-06,Order Redeem
LT0000398,CUST000883,34,2020-05-13,Manual Adjust
LT0000399,CUST001546,203,2020-03-02,Order Earn
LT0000400,CUST002038,162,2022-06-04,Manual Adjust
LT0000401,CUST001690,46,2020-12-24,Order Earn
LT0000402,CUST002363,88,2020-03-31,Order Earn
LT0000403,CUST001151,-53,2023-12-24,Promo Bonus
LT0000404,CUST001963,385,2021-02-19,Promo Bonus
LT0000405,CUST000100,269,2023-10-06,Promo Bonus
LT0000406,CUST000771,116,2021-04-25,Manual Adjust
LT0000407,CUST000008,-69,2023-08-24,Order Earn
LT0000408,CUST002307,-57,2022-06-10,Manual Adjust
LT0000409,CUST000949,383,2024-01-05,Order Earn
LT0000410,CUST001174,453,2022-01-15,Order Earn
LT0000411,CUST002450,455,2022-01-22,Manual Adjust
LT0000412,CUST001936,474,2023-01-20,Order Redeem
LT0000413,CUST001529,-67,2023-09-10,Promo Bonus
LT0000414,CUST002257,-54,2023-01-12,Order Redeem
LT0000415,CUST001314,52,2024-02-14,Promo Bonus
LT0000416,CUST001668,126,2020-12-22,Manual Adjust
LT0000417,CUST001525,223,2022-08-15,Promo Bonus
LT0000418,CUST001198,67,2020-10-29,Manual Adjust
LT0000419,CUST002222,37,2022-04-15,Promo Bonus
LT0000420,CUST001769,401,2020-06-26,Promo Bonus
LT0000421,CUST000564,485,2021-11-12,Promo Bonus
LT0000422,CUST001912,289,2022-07-12,Order Redeem
LT0000423,CUST000176,12,2021-12-04,Order Redeem
LT0000424,CUST002453,274,2021-11-30,Order Redeem
LT0000425,CUST002350,400,2020-10-12,Order Redeem
LT0000426,CUST001624,114,2020-06-16,Manual Adjust
LT0000427,CUST000459,442,2022-10-23,Order Earn
LT0000428,CUST002129,70,2020-07-31,Order Earn
LT0000429,CUST001044,180,2023-02-01,Order Redeem
LT0000430,CUST000929,-34,2023-11-01,Promo Bonus
LT0000431,CUST002004,264,2020-08-27,Promo Bonus
LT0000432,CUST001530,-57,2023-01-28,Manual Adjust
LT0000433,CUST002143,482,2023-09-07,Manual Adjust
LT0000434,CUST000898,245,2023-03-27,Promo Bonus
LT0000435,CUST001672,-52,2023-11-09,Order Earn
LT0000436,CUST000925,313,2023-08-04,Manual Adjust
LT0000437,CUST000638,255,2023-11-22,Order Redeem
LT0000438,CUST000003,109,2024-06-13,Order Earn
LT0000439,CUST002029,151,2020-10-22,Order Earn
LT0000440,CUST001256,204,2021-05-10,Manual Adjust
LT0000441,CUST001241,41,2024-08-17,Order Redeem
LT0000442,CUST002220,440,2023-07-31,Order Earn
LT0000443,CUST000783,203,2020-02-18,Order Earn
LT0000444,CUST000128,-8,2021-08-28,Order Earn
LT0000445,CUST000849,382,2021-01-15,Order Earn
LT0000446,CUST000275,86,2021-06-03,Manual Adjust
LT0000447,CUST000488,25,2022-05-14,Promo Bonus
LT0000448,CUST001651,474,2020-01-22,Promo Bonus
LT0000449,CUST001406,392,2022-03-05,Promo Bonus
LT0000450,CUST000854,425,2021-09-14,Manual Adjust
LT0000451,CUST002416,20,2022-09-06,Order Earn
LT0000452,CUST002013,135,2020-03-05,Manual Adjust
LT0000453,CUST001310,127,2021-12-20,Order Earn
LT0000454,CUST001048,153,2023-12-05,Manual Adjust
LT0000455,CUST001572,315,2024-03-21,Order Earn
LT0000456,CUST001732,-51,2023-11-11,Promo Bonus
LT0000457,CUST002009,35,2020-02-25,Manual Adjust
LT0000458,CUST000159,159,2022-09-25,Order Earn
LT0000459,CUST001946,343,2021-05-31,Order Earn
LT0000460,CUST000340,88,2021-05-17,Order Earn
LT0000461,CUST001863,133,2022-02-16,Promo Bonus
LT0000462,CUST000989,-75,2023-05-21,Manual Adjust
LT0000463,CUST000141,149,2021-10-23,Promo Bonus
LT0000464,CUST002264,43,2024-05-10,Manual Adjust
LT0000465,CUST000888,36,2023-06-10,Manual Adjust
LT0000466,CUST000389,-64,2020-01-22,Order Redeem
LT0000467,CUST002431,408,2023-10-14,Order Earn
LT0000468,CUST002074,0,2022-06-29,Order Earn
LT0000469,CUST002057,434,2021-01-06,Manual Adjust
LT0000470,CUST001126,198,2023-11-28,Manual Adjust
LT0000471,CUST002195,221,2023-08-31,Order Earn
LT0000472,CUST001038,-42,2023-04-14,Order Earn
LT0000473,CUST002117,365,2022-10-02,Order Redeem
LT0000474,CUST001851,133,2021-08-23,Order Redeem
LT0000475,CUST000164,347,2021-08-17,Promo Bonus
LT0000476,CUST001748,43,2020-08-12,Order Redeem
LT0000477,CUST000315,-82,2021-02-11,Manual Adjust
LT0000478,CUST001992,321,2021-05-25,Order Earn
LT0000479,CUST001587,-99,2024-05-07,Order Redeem
LT0000480,CUST001544,434,2020-03-30,Promo Bonus
LT0000481,CUST000749,336,2021-04-02,Promo Bonus
LT0000482,CUST002391,-99,2022-10-07,Order Redeem
LT0000483,CUST001822,249,2024-07-13,Order Earn
LT0000484,CUST000416,212,2020-12-02,Order Redeem
LT0000485,CUST000541,1,2024-02-25,Order Earn
LT0000486,CUST001795,316,2022-10-13,Promo Bonus
LT0000487,CUST001762,27,2020-02-12,Promo Bonus
LT0000488,CUST002227,-51,2020-08-05,Manual Adjust
LT0000489,CUST001941,497,2020-03-09,Promo Bonus
LT0000490,CUST001788,22,2023-02-15,Manual Adjust
LT0000491,CUST000275,59,2020-05-13,Order Earn
