review_id,order_id,product_id,customer_id,review_date,rating,review_text,helpful_votes
REV00000025,ORD0007838,PROD00346,CUST002450,2024-06-21,3,Packaging was poor,6
REV00000026,ORD0003000,PROD00475,CUST000489,2020-02-17,3,Excellent value,47
REV00000027,ORD0003631,PROD00041,CUST002058,2022-04-27,3,Excellent value,9
REV00000028,ORD0006690,PROD00523,CUST002270,2024-01-23,3,Packaging was poor,1
REV00000029,ORD0003301,PROD00410,CUST002381,2020-12-05,5,Average product,22
REV00000030,ORD0008305,PROD00172,CUST000819,2023-11-04,5,Product damaged,10
REV00000031,ORD0003889,PROD00559,CUST001257,2024-05-12,4,Will buy again,15
REV00000032,ORD0003680,PROD00549,CUST002221,2023-11-28,4,Fast delivery,32
REV00000033,ORD0008335,PROD00171,CUST000292,2023-10-19,2,Packaging was poor,36
REV00000034,ORD0007756,PROD00163,CUST000971,2022-12-17,4,Product damaged,18
REV00000035,ORD0006533,PROD00416,CUST001150,2023-03-16,4,Not as expected,47
REV00000036,ORD0003569,PROD00219,CUST000013,2022-05-28,4,Excellent value,46
REV00000037,ORD0002946,PROD00096,CUST001443,2021-06-13,4,Good quality,15
REV00000038,ORD0007104,PROD00198,CUST001905,2021-09-01,2,Product damaged,8
REV00000039,ORD0001186,PROD00104,CUST002176,2020-02-13,3,Not as expected,13
REV00000040,ORD0002733,PROD00470,CUST001760,2020-03-06,5,Not as expected,38
REV00000041,ORD0002315,PROD00478,CUST000545,2021-03-30,5,Product damaged,27
REV00000042,ORD0008174,PROD00578,CUST000555,2022-10-21,4,Fast delivery,23
REV00000043,ORD0006888,PROD00548,CUST001416,2020-05-25,4,Will buy again,15
REV00000044,ORD0007718,PROD00339,CUST001122,2023-07-26,4,Excellent value,6
REV00000045,ORD0007531,PROD00150,CUST001280,2022-10-13,4,Very satisfied,38
REV00000046,ORD0007654,PROD00155,CUST000884,2023-08-06,3,Packaging was poor,10
REV00000047,ORD0000428,PROD00007,CUST001081,2023-12-05,4,Will buy again,48
REV00000048,ORD0005682,PROD00256,CUST001675,2022-06-22,3,Not as expected,0
REV00000049,ORD0004716,PROD00035,CUST000575,2024-08-06,4,Highly recommended,15
REV00000050,ORD0003868,PROD00064,CUST002429,2022-11-10,3,Good quality,5
REV00000051,ORD0002405,PROD00291,CUST001747,2024-08-05,4,Fast delivery,19
REV00000052,ORD0002140,PROD00499,CUST001358,2022-02-08,4,Average product,41
REV00000053,ORD0003445,PROD00141,CUST001564,2023-10-18,3,Good quality,43
REV00000054,ORD0001301,PROD00044,CUST001478,2020-07-10,3,Excellent value,18
REV00000055,ORD0005352,PROD00173,CUST000399,2021-05-01,4,Will buy again,5
REV00000056,ORD0006675,PROD00091,CUST000836,2024-08-27,5,Packaging was poor,31
REV00000057,ORD0007717,PROD00515,CUST002393,2024-06-07,3,Very satisfied,21
REV00000058,ORD0007269,PROD00451,CUST001508,2020-08-23,4,Highly recommended,20
REV00000059,ORD0005557,PROD00072,CUST001441,2021-07-01,4,Not as expected,36
REV00000060,ORD0001723,PROD00437,CUST001106,2020-08-12,5,Highly recommended,29
REV00000061,ORD0000793,PROD00273,CUST001577,2021-10-05,4,Good quality,49
REV00000062,ORD0002270,PROD00580,CUST002101,2021-06-17,4,Very satisfied,8
REV00000063,ORD0004243,PROD00510,CUST000412,2021-01-25,4,Product damaged,25
REV00000064,ORD0006224,PROD00493,CUST000582,2022-08-13,5,Product damaged,17
REV00000065,ORD0005720,PROD00094,CUST001988,2021-08-23,5,Good quality,15
REV00000066,ORD0005688,PROD00192,CUST001862,2021-10-19,5,Average product,36
REV00000067,ORD0002697,PROD00166,CUST001169,2020-05-29,1,Good quality,28
REV00000068,ORD0008154,PROD00478,CUST000480,2020-09-10,5,Highly recommended,44
REV00000069,ORD0005146,PROD00133,CUST002073,2024-01-26,5,Highly recommended,25
REV00000070,ORD0005552,PROD00293,CUST001635,2021-03-16,4,Not as expected,24
REV00000071,ORD0003355,PROD00320,CUST002341,2022-09-18,3,Good quality,29
REV00000072,ORD0003405,PROD00307,CUST001597,2020-06-25,4,Excellent value,26
REV00000073,ORD0002728,PROD00250,CUST000687,2023-09-01,5,Packaging was poor,20
REV00000074,ORD0004564,PROD00361,CUST000123,2024-05-06,4,Will buy again,42
REV00000075,ORD0000812,PROD00259,CUST002153,2023-11-07,4,Product damaged,13
REV00000076,ORD0004561,PROD00204,CUST000991,2022-04-01,5,Highly recommended,45
REV00000077,ORD0001722,PROD00245,CUST001141,2021-01-09,3,Good quality,47
REV00000078,ORD0002708,PROD00323,CUST000244,2021-07-07,4,Packaging was poor,1
REV00000079,ORD0007270,PROD00399,CUST001277,2020-02-24,3,Not as expected,33
REV00000080,ORD0006762,PROD00379,CUST000165,2020-05-04,5,Excellent value,1
REV00000081,ORD0008019,PROD00309,CUST001587,2023-07-29,5,Fast delivery,39
REV00000082,ORD0000526,PROD00159,CUST001589,2022-10-18,3,Very satisfied,36
REV00000083,ORD0002035,PROD00527,CUST000088,2021-05-21,3,Product damaged,11
REV00000084,ORD0006115,PROD00481,CUST001353,2020-03-01,5,Will buy again,16
REV00000085,ORD0007465,PROD00133,CUST001421,2024-01-30,4,Not as expected,21
REV00000086,ORD0001753,PROD00260,CUST002208,2023-01-21,5,Will buy again,30
REV00000087,ORD0001046,PROD00006,CUST000728,2021-07-27,4,Fast delivery,4
REV00000088,ORD0000481,PROD00177,CUST001464,2020-10-31,4,Excellent value,13
REV00000089,ORD0004929,PROD00072,CUST002203,2020-01-28,5,Highly recommended,46
REV00000090,ORD0001884,PROD00407,CUST002435,2023-02-21,4,Excellent value,32
REV00000091,ORD0002512,PROD00195,CUST000339,2023-12-08,3,Fast delivery,10
REV00000092,ORD0006398,PROD00145,CUST000462,2020-09-06,3,Fast delivery,31
REV00000093,ORD0002881,PROD00395,CUST001136,2022-05-30,5,Product damaged,15
REV00000094,ORD0000764,PROD00395,CUST000585,2022-08-27,4,Highly recommended,2
REV00000095,ORD0006770,PROD00202,CUST000814,2020-10-23,5,Packaging was poor,30
REV00000096,ORD0005833,PROD00281,CUST001219,2022-10-24,4,Product damaged,39
REV00000097,ORD0006621,PROD00203,CUST002189,2021-08-02,5,Very satisfied,23
REV00000098,ORD0001141,PROD00361,CUST001987,2024-08-01,3,Highly recommended,13
REV00000099,ORD0002897,PROD00577,CUST000578,2021-10-03,5,Good quality,23
REV00000100,ORD0006435,PROD00276,CUST001978,2023-04-04,4,Packaging was poor,0
REV00000101,ORD0001127,PROD00585,CUST002067,2023-09-28,4,Not as expected,49
REV00000102,ORD0005271,PROD00158,CUST000564,2021-04-15,5,Very satisfied,49
REV00000103,ORD0007576,PROD00305,CUST001009,2020-11-24,4,Very satisfied,33
REV00000104,ORD0007851,PROD00233,CUST001502,2021-09-03,4,Not as expected,16
REV00000105,ORD0002301,PROD00556,CUST002277,2021-06-26,5,Average product,20
REV00000106,ORD0005910,PROD00400,CUST001467,2020-01-30,3,Highly recommended,37
REV00000107,ORD0000318,PROD00399,CUST001757,2023-05-16,5,Fast delivery,26
REV00000108,ORD0006963,PROD00523,CUST001194,2024-03-12,5,Highly recommended,24
REV00000109,ORD0004176,PROD00593,CUST001217,2020-05-17,3,Will buy again,20
REV00000110,ORD0006387,PROD00481,CUST001086,2022-09-22,4,Packaging was poor,31
REV00000111,ORD0002381,PROD00382,CUST000758,2021-05-29,3,Packaging was poor,47
REV00000112,ORD0003709,PROD00167,CUST001512,2024-03-24,3,Will buy again,24
REV00000113,ORD0004688,PROD00570,CUST000924,2021-08-12,4,Highly recommended,41
REV00000114,ORD0008288,PROD00008,CUST000079,2021-11-06,2,Not as expected,43
REV00000115,ORD0006639,PROD00051,CUST001849,2024-08-26,4,Fast delivery,3
REV00000116,ORD0002426,PROD00118,CUST001462,2021-08-15,4,Excellent value,34
REV00000117,ORD0004095,PROD00191,CUST000330,2021-08-19,4,Highly recommended,4
REV00000118,ORD0007327,PROD00453,CUST001129,2023-07-31,3,Average product,9
REV00000119,ORD0008452,PROD00122,CUST001518,2022-12-14,4,Product damaged,33
REV00000120,ORD0000726,PROD00456,CUST001067,2021-12-23,4,Packaging was poor,30
REV00000121,ORD0006569,PROD00050,CUST000724,2023-03-07,4,Fast delivery,28
REV00000122,ORD0003025,PROD00511,CUST000815,2023-12-07,5,Excellent value,9
REV00000123,ORD0004881,PROD00567,CUST000381,2022-02-26,3,Will buy again,28
REV00000124,ORD0001208,PROD00257,CUST000171,2021-06-06,4,Very satisfied,27
REV00000125,ORD0006395,PROD00582,CUST000447,2022-05-16,5,Packaging was poor,3
REV00000126,ORD0004915,PROD00456,CUST002117,2022-05-19,5,Not as expected,8
REV00000127,ORD0007733,PROD00445,CUST001180,2023-12-08,3,Highly recommended,28
REV00000128,ORD0008016,PROD00299,CUST000701,2020-11-27,4,Excellent value,31
REV00000129,ORD0002752,PROD00094,CUST000612,2021-01-19,5,Highly recommended,28
REV00000130,ORD0003625,PROD00282,CUST002484,2022-06-12,1,Will buy again,16
REV00000131,ORD0004029,PROD00086,CUST001062,2020-08-23,4,Packaging was poor,21
REV00000132,ORD0001874,PROD00500,CUST000132,2021-05-10,4,Not as expected,41
REV00000133,ORD0004940,PROD00168,CUST001448,2023-05-09,4,Very satisfied,5
REV00000134,ORD0005079,PROD00191,CUST002283,2021-10-30,4,Highly recommended,14
REV00000135,ORD0001002,PROD00482,CUST002250,2023-11-13,4,Will buy again,7
REV00000136,ORD0004824,PROD00510,CUST001070,2021-07-25,5,Will buy again,22
REV00000137,ORD0000529,PROD00192,CUST000427,2024-07-08,4,Fast delivery,39
REV00000138,ORD0005600,PROD00212,CUST001633,2024-01-26,5,Good quality,14
REV00000139,ORD0004754,PROD00466,CUST000943,2021-05-03,4,Very satisfied,24
REV00000140,ORD0000625,PROD00559,CUST000988,2024-09-26,4,Packaging was poor,25
REV00000141,ORD0008153,PROD00517,CUST001356,2023-04-04,5,Highly recommended,10
REV00000142,ORD0002303,PROD00066,CUST001890,2021-07-11,5,Good quality,33
REV00000143,ORD0004186,PROD00049,CUST002274,2021-06-27,5,Good quality,43
REV00000144,ORD0003824,PROD00530,CUST002028,2021-04-27,4,Will buy again,25
REV00000145,ORD0000250,PROD00474,CUST002119,2022-03-03,5,Very satisfied,34
REV00000146,ORD0006555,PROD00024,CUST000186,2022-12-24,4,Packaging was poor,0
REV00000147,ORD0000391,PROD00395,CUST001864,2020-08-02,4,Average product,34
REV00000148,ORD0005612,PROD00157,CUST001725,2024-02-05,5,Highly recommended,32
REV00000149,ORD0004212,PROD00396,CUST001773,2022-12-18,3,Average product,49
REV00000150,ORD0002279,PROD00030,CUST000992,2021-05-04,4,Packaging was poor,39
REV00000151,ORD0001529,PROD00006,CUST001113,2024-04-10,3,Will buy again,2
REV00000152,ORD0000531,PROD00112,CUST001136,2023-05-12,5,Average product,37
REV00000153,ORD0008857,PROD00453,CUST000716,2020-07-25,4,Not as expected,25
REV00000154,ORD0005257,PROD00521,CUST002406,2024-09-25,3,Fast delivery,48
REV00000155,ORD0003590,PROD00530,CUST001482,2023-05-24,4,Excellent value,7
REV00000156,ORD0002528,PROD00342,CUST001957,2021-01-01,4,Packaging was poor,4
REV00000157,ORD0004164,PROD00501,CUST001021,2022-03-01,4,Average product,29
REV00000158,ORD0007049,PROD00147,CUST000838,2020-07-14,5,Packaging was poor,5
REV00000159,ORD0002686,PROD00521,CUST000240,2023-05-31,4,Good quality,9
REV00000160,ORD0002819,PROD00127,CUST000995,2022-06-20,4,Fast delivery,41
REV00000161,ORD0002676,PROD00348,CUST000243,2020-07-24,3,Fast delivery,15
REV00000162,ORD0006697,PROD00147,CUST001837,2020-01-31,4,Good quality,45
REV00000163,ORD0004777,PROD00599,CUST002029,2021-02-15,4,Fast delivery,0
REV00000164,ORD0005351,PROD00586,CUST001997,2021-11-03,2,Not as expected,39
REV00000165,ORD0008939,PROD00589,CUST001372,2022-05-10,5,Excellent value,37
REV00000166,ORD0006180,PROD00481,CUST000019,2020-11-18,4,Good quality,20
REV00000167,ORD0000408,PROD00293,CUST000554,2022-12-14,5,Highly recommended,21
REV00000168,ORD0008044,PROD00375,CUST000403,2020-03-31,5,Average product,9
REV00000169,ORD0008164,PROD00144,CUST000231,2024-08-24,3,Highly recommended,10
REV00000170,ORD0004468,PROD00474,CUST002082,2024-03-13,3,Fast delivery,18
REV00000171,ORD0006268,PROD00019,CUST001283,2021-02-26,5,Will buy again,22
REV00000172,ORD0004327,PROD00225,CUST000531,2020-10-05,5,Product damaged,25
REV00000173,ORD0003121,PROD00390,CUST002459,2021-05-13,5,Fast delivery,16
REV00000174,ORD0007037,PROD00259,CUST000531,2024-07-07,3,Product damaged,26
REV00000175,ORD0007189,PROD00270,CUST001194,2024-01-04,4,Fast delivery,24
REV00000176,ORD0008607,PROD00141,CUST001361,2020-07-21,5,Not as expected,49
REV00000177,ORD0007645,PROD00269,CUST002423,2024-03-05,5,Highly recommended,36
REV00000178,ORD0005539,PROD00506,CUST000849,2020-02-07,5,Product damaged,11
REV00000179,ORD0008327,PROD00179,CUST000238,2020-11-29,3,Product damaged,6
REV00000180,ORD0000321,PROD00186,CUST000175,2020-12-25,3,Highly recommended,30
REV00000181,ORD0000851,PROD00346,CUST000124,2024-09-08,4,Highly recommended,26
REV00000182,ORD0008942,PROD00069,CUST000040,2023-05-25,4,Excellent value,28
REV00000183,ORD0006127,PROD00098,CUST001264,2021-12-25,4,Product damaged,33
REV00000184,ORD0006209,PROD00139,CUST002375,2021-10-04,5,Not as expected,21
REV00000185,ORD0003725,PROD00123,CUST002349,2021-06-06,4,Packaging was poor,26
REV00000186,ORD0003160,PROD00022,CUST002453,2021-03-04,4,Good quality,28
REV00000187,ORD0002091,PROD00496,CUST001996,2021-03-31,4,Fast delivery,37
REV00000188,ORD0004552,PROD00306,CUST001673,2022-11-25,4,Good quality,19
REV00000189,ORD0007801,PROD00296,CUST000889,2023-12-04,4,Average product,19
REV00000190,ORD0007827,PROD00264,CUST001487,2020-05-20,3,Very satisfied,44
REV00000191,ORD0000215,PROD00123,CUST000833,2024-02-03,4,Not as expected,20
REV00000192,ORD0006213,PROD00264,CUST000455,2021-10-09,4,Packaging was poor,22
REV00000193,ORD0004336,PROD00121,CUST001299,2024-05-25,4,Packaging was poor,2
REV00000194,ORD0008623,PROD00589,CUST001930,2020-04-23,4,Will buy again,1
REV00000195,ORD0001464,PROD00260,CUST000922,2023-11-29,4,Very satisfied,13
REV00000196,ORD0008431,PROD00443,CUST002128,2023-10-02,5,Not as expected,9
REV00000197,ORD0006640,PROD00397,CUST000015,2021-01-04,3,Average product,20
REV00000198,ORD0005077,PROD00131,CUST002105,2022-10-09,2,Very satisfied,9
REV00000199,ORD0005197,PROD00472,CUST002110,2023-03-09,5,Will buy again,46
REV00000200,ORD0005247,PROD00235,CUST000977,2022-11-29,5,Will buy again,18
REV00000201,ORD0005271,PROD00425,CUST000564,2021-04-01,3,Not as expected,19
REV00000202,ORD0003559,PROD00017,CUST000122,2024-01-30,3,Product damaged,10
REV00000203,ORD0007437,PROD00465,CUST001612,2023-05-01,4,Good quality,29
REV00000204,ORD0003575,PROD00233,CUST001182,2020-10-10,4,Packaging was poor,28
REV00000205,ORD0000560,PROD00551,CUST000542,2023-11-20,3,Very satisfied,18
REV00000206,ORD0007080,PROD00176,CUST000042,2023-08-04,3,Product damaged,24
REV00000207,ORD0008419,PROD00569,CUST000027,2020-08-09,5,Will buy again,39
REV00000208,ORD0004473,PROD00376,CUST001546,2023-01-09,5,Product damaged,34
REV00000209,ORD0001489,PROD00521,CUST002432,2021-01-08,3,Packaging was poor,19
REV00000210,ORD0005173,PROD00098,CUST001773,2022-08-29,4,Fast delivery,18
REV00000211,ORD0003038,PROD00230,CUST002157,2023-06-01,4,Average product,4
REV00000212,ORD0007810,PROD00244,CUST000109,2024-04-20,4,Not as expected,22
REV00000213,ORD0008048,PROD00420,CUST001614,2022-08-12,3,Product damaged,43
REV00000214,ORD0004411,PROD00189,CUST002128,2024-07-12,5,Product damaged,21
REV00000215,ORD0003168,PROD00563,CUST001007,2023-09-04,5,Product damaged,23
REV00000216,ORD0004137,PROD00600,CUST000691,2023-09-29,4,Packaging was poor,46
REV00000217,ORD0007316,PROD00022,CUST000168,2021-11-24,4,Average product,12
REV00000218,ORD0004188,PROD00590,CUST002356,2023-03-03,3,Average product,11
REV00000219,ORD0004534,PROD00037,CUST002127,2023-06-22,4,Fast delivery,45
REV00000220,ORD0006918,PROD00563,CUST001412,2022-06-30,3,Fast delivery,41
REV00000221,ORD0001439,PROD00282,CUST002130,2021-10-27,5,Highly recommended,47
REV00000222,ORD0008558,PROD00380,CUST000103,2024-05-23,5,Product damaged,13
REV00000223,ORD0004151,PROD00350,CUST002242,2023-10-30,4,Will buy again,9
REV00000224,ORD0004814,PROD00507,CUST000543,2021-05-24,3,Good quality,34
REV00000225,ORD0001299,PROD00177,CUST001782,2022-08-09,4,Not as expected,0
REV00000226,ORD0008831,PROD00547,CUST000828,2022-03-11,3,Very satisfied,41
REV00000227,ORD0006641,PROD00093,CUST001989,2021-07-26,4,Will buy again,27
REV00000228,ORD0003519,PROD00065,CUST002102,2021-10-21,4,Good quality,40
REV00000229,ORD0008215,PROD00600,CUST001620,2023-02-21,5,Highly recommended,7
REV00000230,ORD0002686,PROD00289,CUST000240,2023-05-07,4,Excellent value,34
REV00000231,ORD0004431,PROD00266,CUST001397,2021-05-25,5,Highly recommended,43
REV00000232,ORD0007795,PROD00255,CUST001329,2024-09-01,5,Very satisfied,45
REV00000233,ORD0006954,PROD00520,CUST000822,2022-09-02,4,Highly recommended,44
REV00000234,ORD0004708,PROD00523,CUST001380,2021-08-08,3,Product damaged,17
REV00000235,ORD0004894,PROD00188,CUST002246,2023-06-10,4,Very satisfied,5
REV00000236,ORD0001466,PROD00277,CUST001483,2023-02-08,3,Highly recommended,12
REV00000237,ORD0002919,PROD00587,CUST001498,2021-03-20,5,Very satisfied,25
REV00000238,ORD0008331,PROD00539,CUST001308,2024-03-02,4,Excellent value,7
REV00000239,ORD0008816,PROD00091,CUST002496,2022-02-07,4,Average product,47
REV00000240,ORD0008432,PROD00209,CUST001252,2022-05-11,3,Good quality,46
REV00000241,ORD0004097,PROD00265,CUST000161,2023-08-28,5,Highly recommended,36
REV00000242,ORD0001036,PROD00512,CUST000550,2023-09-25,5,Packaging was poor,46
REV00000243,ORD0005342,PROD00212,CUST000372,2024-02-22,4,Average product,23
REV00000244,ORD0003147,PROD00489,CUST001293,2021-09-06,5,Product damaged,42
REV00000245,ORD0008480,PROD00406,CUST001904,2021-11-29,4,Very satisfied,30
REV00000246,ORD0002319,PROD00117,CUST000417,2023-05-04,3,Fast delivery,32
REV00000247,ORD0008739,PROD00470,CUST001051,2023-11-06,3,Fast delivery,3
REV00000248,ORD0008592,PROD00094,CUST000804,2020-01-24,4,Highly recommended,5
REV00000249,ORD0000646,PROD00358,CUST000112,2023-03-18,3,Fast delivery,41
REV00000250,ORD0004523,PROD00145,CUST002065,2023-02-16,4,Good quality,28
REV00000251,ORD0002613,PROD00455,CUST001531,2023-03-12,5,Good quality,40
REV00000252,ORD0004057,PROD00009,CUST001505,2022-02-20,5,Not as expected,13
REV00000253,ORD0003179,PROD00554,CUST001556,2020-12-09,3,Not as expected,30
REV00000254,ORD0008796,PROD00198,CUST001511,2022-04-16,4,Will buy again,49
REV00000255,ORD0002430,PROD00156,CUST001935,2020-04-30,5,Good quality,48
REV00000256,ORD0004229,PROD00286,CUST001032,2020-09-09,3,Will buy again,48
REV00000257,ORD0001883,PROD00130,CUST002325,2021-12-19,5,Not as expected,40
REV00000258,ORD0005067,PROD00216,CUST001782,2021-10-27,4,Average product,20
REV00000259,ORD0007919,PROD00379,CUST001099,2022-03-20,4,Not as expected,29
REV00000260,ORD0008859,PROD00069,CUST000543,2022-09-07,2,Very satisfied,20
REV00000261,ORD0001287,PROD00009,CUST001170,2024-04-16,5,Fast delivery,37
REV00000262,ORD0001771,PROD00235,CUST001833,2022-07-17,3,Packaging was poor,30
REV00000263,ORD0005578,PROD00133,CUST000154,2023-12-07,5,Fast delivery,18
REV00000264,ORD0008750,PROD00570,CUST002020,2024-02-16,4,Packaging was poor,17
REV00000265,ORD0001720,PROD00240,CUST001177,2022-07-15,4,Fast delivery,33
REV00000266,ORD0001785,PROD00324,CUST000653,2024-01-04,4,Good quality,13
REV00000267,ORD0006820,PROD00452,CUST001265,2021-01-04,3,Excellent value,4
REV00000268,ORD0004225,PROD00290,CUST001177,2022-01-27,3,Average product,28
REV00000269,ORD0005195,PROD00516,CUST001239,2020-06-16,4,Excellent value,5
REV00000270,ORD0004990,PROD00122,CUST000392,2021-08-12,3,Highly recommended,26
REV00000271,ORD0001527,PROD00386,CUST000809,2023-10-05,5,Highly recommended,22
REV00000272,ORD0002140,PROD00499,CUST001358,2022-02-25,4,Good quality,46
REV00000273,ORD0000765,PROD00442,CUST000724,2024-04-10,4,Very satisfied,41
REV00000274,ORD0007479,PROD00326,CUST001835,2021-10-31,4,Product damaged,8
REV00000275,ORD0007003,PROD00100,CUST001931,2024-03-27,4,Fast delivery,34
REV00000276,ORD0002385,PROD00015,CUST001913,2022-04-05,3,Product damaged,39
REV00000277,ORD0007610,PROD00150,CUST000525,2021-09-15,3,Fast delivery,23
REV00000278,ORD0004842,PROD00483,CUST000312,2024-01-16,4,Excellent value,25
REV00000279,ORD0001400,PROD00033,CUST001180,2022-07-10,4,Very satisfied,10
REV00000280,ORD0008179,PROD00037,CUST001472,2021-04-01,5,Highly recommended,38
REV00000281,ORD0005736,PROD00048,CUST000656,2022-12-02,5,Good quality,37
REV00000282,ORD0005131,PROD00196,CUST000043,2021-05-07,3,Highly recommended,13
REV00000283,ORD0001826,PROD00237,CUST001340,2020-11-09,4,Not as expected,33
REV00000284,ORD0000678,PROD00419,CUST002275,2022-09-24,5,Average product,6
REV00000285,ORD0006536,PROD00196,CUST000024,2020-04-05,3,Product damaged,10
REV00000286,ORD0002354,PROD00061,CUST002035,2022-01-04,4,Highly recommended,21
REV00000287,ORD0008937,PROD00305,CUST000289,2022-08-14,4,Not as expected,5
REV00000288,ORD0001838,PROD00104,CUST001937,2023-04-21,5,Highly recommended,13
REV00000289,ORD0008049,PROD00474,CUST000693,2021-10-17,5,Excellent value,15
REV00000290,ORD0004834,PROD00309,CUST001101,2021-02-15,4,Fast delivery,7
REV00000291,ORD0004763,PROD00063,CUST002268,2021-08-14,4,Highly recommended,18
REV00000292,ORD0006050,PROD00325,CUST002322,2023-07-13,4,Very satisfied,10
REV00000293,ORD0001430,PROD00304,CUST000231,2023-08-27,5,Product damaged,8
REV00000294,ORD0007214,PROD00015,CUST000962,2022-06-16,5,Average product,44
REV00000295,ORD0002686,PROD00521,CUST000240,2023-05-20,4,Not as expected,10
REV00000296,ORD0000188,PROD00370,CUST002486,2021-07-25,4,Very satisfied,4
REV00000297,ORD0008909,PROD00420,CUST000703,2022-09-18,3,Product damaged,26
REV00000298,ORD0000968,PROD00399,CUST001382,2021-09-02,4,Average product,2
REV00000299,ORD0002671,PROD00107,CUST001786,2021-09-12,3,Fast delivery,8
REV00000300,ORD0007765,PROD00233,CUST001574,2024-01-22,3,Excellent value,15
REV00000301,ORD0003160,PROD00523,CUST002453,2021-02-11,3,Highly recommended,0
REV00000302,ORD0008429,PROD00570,CUST000702,2024-08-09,3,Very satisfied,9
REV00000303,ORD0002675,PROD00461,CUST000716,2020-08-13,5,Highly recommended,31
REV00000304,ORD0004769,PROD00073,CUST000357,2021-07-18,5,Good quality,18
REV00000305,ORD0005643,PROD00340,CUST002192,2020-11-26,5,Good quality,36
REV00000306,ORD0004616,PROD00242,CUST001439,2024-03-15,5,Good quality,0
REV00000307,ORD0000247,PROD00581,CUST001131,2022-03-04,4,Not as expected,44
REV00000308,ORD0008990,PROD00490,CUST001173,2024-04-09,5,Highly recommended,8
REV00000309,ORD0004342,PROD00058,CUST001976,2022-02-15,4,Fast delivery,5
REV00000310,ORD0005388,PROD00228,CUST000580,2024-02-04,3,Average product,39
REV00000311,ORD0005408,PROD00463,CUST000370,2020-07-12,3,Packaging was poor,21
REV00000312,ORD0001611,PROD00578,CUST000711,2023-09-30,5,Packaging was poor,30
REV00000313,ORD0001691,PROD00218,CUST001767,2024-01-01,4,Will buy again,33
REV00000314,ORD0003878,PROD00029,CUST000541,2020-09-02,3,Product damaged,25
REV00000315,ORD0003155,PROD00499,CUST001715,2023-03-30,3,Excellent value,23
REV00000316,ORD0006744,PROD00557,CUST001840,2020-07-01,3,Packaging was poor,9
REV00000317,ORD0004215,PROD00544,CUST000950,2020-12-27,5,Excellent value,12
REV00000318,ORD0006744,PROD00557,CUST001840,2020-06-18,4,Average product,13
REV00000319,ORD0001756,PROD00241,CUST000254,2020-04-17,5,Very satisfied,17
REV00000320,ORD0001063,PROD00563,CUST000486,2022-01-10,3,Not as expected,38
REV00000321,ORD0007953,PROD00404,CUST001021,2022-05-12,5,Very satisfied,26
REV00000322,ORD0008628,PROD00422,CUST002339,2022-03-30,3,Product damaged,9
REV00000323,ORD0003939,PROD00393,CUST000664,2023-06-21,4,Very satisfied,38
REV00000324,ORD0005236,PROD00051,CUST001965,2023-06-06,5,Not as expected,21
REV00000325,ORD0006508,PROD00360,CUST000814,2023-06-18,4,Highly recommended,31
REV00000326,ORD0006185,PROD00213,CUST000603,2023-12-14,5,Product damaged,28
REV00000327,ORD0002117,PROD00115,CUST000778,2020-06-10,5,Fast delivery,42
REV00000328,ORD0003366,PROD00529,CUST000300,2022-06-26,4,Good quality,49
REV00000329,ORD0005308,PROD00065,CUST001208,2022-12-20,3,Good quality,39
